probe_config,condition,public_condition,scan_id,pa_s_mm,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm_raw,source_to_focus_mm_raw,ut_path_mm_display,geometry_center_mm_display,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,path_correction_factor,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,edm_detectability_db
1D16,PA1_TO_C1,PA1 → C1,0,0.0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,40.04551954692235,39.498834974233624,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,1.559297349165172,1.3706936541662302,-0.5759963036720268,0.972933422169452,0.4667577836928656,0.5962322826943547,0.8657679093390813,2.406005758984964,84.27358860000197,2.854993834907023,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,22.31720286891192,-13.027204774188094
1D16,PA1_TO_C1,PA1 → C1,1,1.69166551485189,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-148.46207204866772,151.96678324749905,-91.53103465000001,-123.18049367645828,121.3302084076179,-51.8,57.85402132978515,56.18107365714283,39.84716945874584,39.19727336658251,6.395524245194467,6.2548882950061735,57.51490377671017,1.0828036405504378,16,1.5661629913674169,1.3827906541530826,-0.9358685321897415,0.9539178212199679,0.46167402680456493,0.5869723201232812,0.8556073945440623,2.385897388852992,85.43802543349454,2.792547436281973,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,22.130685204138036,-13.100102787185273
1D16,PA1_TO_C1,PA1 → C1,2,3.3820034357267534,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-147.01213427876158,152.65079213391363,-90.99525989,-122.11948218486496,122.39911263698372,-51.8,57.38960567349216,55.41729548162187,39.66675621265335,38.900565669343706,7.8830443786872815,7.749152132980269,56.86402624312537,1.079272506926678,16,1.5724871770674291,1.3939806531368346,0.5273057474866244,0.9302462613355912,0.45386085183414004,0.5735935383919761,0.8402165524660398,2.349510886691882,86.61555852345468,2.7125737301060715,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,21.79317772004865,-13.233588790520743
1D16,PA1_TO_C1,PA1 → C1,3,5.071127733401651,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-145.55818013084513,153.32952804921314,-90.46755184000001,-121.04708600941288,123.45658981264891,-51.8,56.97230656494832,54.665946797017796,39.504646503939306,38.60868650183513,9.374529785161968,9.245300000422722,56.21715168196124,1.075792187759074,16,1.5782355864429998,1.4041909977578344,0.3539154861482812,0.9022829379792673,0.4434421526293421,0.5563633670005285,0.8198515273228169,2.2974780052980095,87.80603430912963,2.6165377167695745,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,21.31054031754676,-13.42811077675847
1D16,PA1_TO_C1,PA1 → C1,4,6.759153908900538,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-144.10015474514572,154.00296279815666,-89.94785963999999,-119.96618267894802,124.505387103595,-51.8,56.60299024751338,53.92415761661508,39.361176845325275,38.320520949835924,10.868690507921741,10.742707420023205,55.57420932634017,1.0778585582157092,16,1.583375955216328,1.4133528926683245,-0.7258300559089943,0.870448928950055,0.43058802907806176,0.5356286221518124,0.7948589252848403,2.2307557785377057,89.01390790611121,2.506075545959211,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,20.691650082178647,-13.684097491653738
1D16,PA1_TO_C1,PA1 → C1,5,8.446414838749618,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-142.641845663311,154.6708453935059,-89.42429788999998,-118.88008230961648,125.54874606153744,-51.8,56.27541381627656,53.18181887537765,39.23392203274087,38.0321419079322,12.364928406424344,12.241016283756519,54.927950266999574,1.0772442622135348,16,1.5879776453738002,1.4215799507255078,0.7557194759546142,0.8352140289721273,0.41556323135300727,0.51186936591799,0.7657641345347522,2.151006847462007,90.25640907935032,2.3832178450296158,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,19.95192904587236,-14.000302166485564
1D16,PA1_TO_C1,PA1 → C1,6,10.124115299927508,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-141.1848019404851,155.33016413635335,-88.91734501,-117.78134730947552,126.57884134262476,-51.8,56.00216066064938,52.46005672553427,39.12777038142657,37.75175632963509,13.861496485117932,13.740116624502683,54.290433722767865,1.0742829357756332,16,1.5918470664381705,1.4285163118038944,-0.36431733064366256,0.7970876110564447,0.39852842901582525,0.4854458894338651,0.7329048817672114,2.0590595293201366,91.49818546924408,2.2503829106122137,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,19.099060367332626,-14.379759971611474
1D16,PA1_TO_C1,PA1 → C1,7,11.809474077419814,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-139.71823348336846,155.98731927370824,-88.40964599,-116.67484857184644,127.6005710161018,-51.8,55.773812425267614,51.740421764172034,39.03906310847725,37.47219710801596,15.35878830882876,15.239434369052887,53.651447255039315,1.073911509958231,16,1.5951023950431766,1.4343649200454696,-0.5207345609491264,0.7566093545625345,0.37983887072696043,0.4569629715130899,0.6969768868766304,1.9572272994242377,92.7707938268835,2.1097451241783642,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,18.154502971867696,-14.82031273125423
1D16,PA1_TO_C1,PA1 → C1,8,13.494044727243946,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-138.24746120457553,156.63905180031753,-87.90979411999999,-115.55750226495442,128.6104265437551,-51.8,55.59594161344636,51.032884514235406,38.96996498460708,37.19733752853638,16.85607502426771,16.7389910283084,53.0161758639752,1.070739099281807,16,1.5976520019071805,1.4389539538017522,0.925484424148422,0.7143233052746502,0.35975742054619286,0.42690545218294224,0.6585064860926036,1.847102175373174,94.05699963248327,1.9638115000377534,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,17.133023814873276,-15.32331962893145
1D16,PA1_TO_C1,PA1 → C1,9,15.17794705718902,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-136.77242656157046,157.2853317167316,-87.41773505,-114.43222507492268,129.61145779078277,-51.8,55.46889710405107,50.33439133063327,38.92061154006306,36.925991330535595,18.35365453347459,18.23878619671154,52.3845895661162,1.0701754059913196,16,1.5994805656365843,1.4422496962564872,0.662092916101518,0.6707700430577702,0.338596261800307,0.3958078701167168,0.6181077706598528,1.7306532023711003,95.3622339141855,1.8148203238700127,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,16.05288701775268,-15.888937018295373
1D16,PA1_TO_C1,PA1 → C1,10,16.85271105173445,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-135.3024148437535,157.92281289642793,-86.93037713999999,-113.3016834944249,130.60654183979702,-51.8,55.389890969753765,49.64226266341307,38.88991973853429,36.657117579457555,19.851760112608666,19.739197004647572,51.75330060250189,1.0730514471587735,16,1.6006208797291948,1.4443068689859824,-0.04481376554026349,0.626469204772763,0.3166848214815206,0.3642065162582154,0.5764228645116412,1.609986691602888,96.69180537851786,1.665070463107291,Green + Born + Kirchhoff zone + Edge/GTD; provisional path correction; CIVA-like dB display,14.933629929426331,-16.51669230268833
