condition;probe_type;scan_id;element_id;frequency_mhz;pitch_x_mm;pitch_y_mm;pa_x;pa_y;pa_z;focus_x;focus_y;focus_z;element_x;element_y;element_z;distance_mm;delay_us
B_PA2_to_C2;1D;0;1;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-108.83157808168572;122.20308489935823;-91.9009373634041;57.94048566817008;0.39376561409624955
B_PA2_to_C2;1D;0;2;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-108.33065458881157;122.52933427569467;-91.95228907931352;57.888741623920566;0.40978544203727907
B_PA2_to_C2;1D;0;3;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-107.8297310959374;122.8555836520311;-92.00364079522294;57.84317534626402;0.42389264874208976
B_PA2_to_C2;1D;0;4;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-107.32880760306325;123.18183302836754;-92.05499251113234;57.8038014448553;0.436082711097729
B_PA2_to_C2;1D;0;5;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-106.82788411018909;123.50808240470397;-92.10634422704176;57.770632581043;0.44635170918203215
B_PA2_to_C2;1D;0;6;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-106.32696061731494;123.8343317810404;-92.15769594295116;57.743679447637184;0.4546963325274902
B_PA2_to_C2;1D;0;7;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-105.82603712444077;124.16058115737684;-92.20904765886058;57.722950751751156;0.46111388543338094
B_PA2_to_C2;1D;0;8;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-105.32511363156662;124.48683053371327;-92.26039937476999;57.708453200780724;0.4656022913065776
B_PA2_to_C2;1D;0;9;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-104.82419013869246;124.81307991004971;-92.31175109067941;57.70019149157402;0.468160096014536
B_PA2_to_C2;1D;0;10;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-104.32326664581831;125.13932928638614;-92.36310280658881;57.69816830283194;0.46878647023808995
B_PA2_to_C2;1D;0;11;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-103.82234315294414;125.46557866272258;-92.41445452249823;57.70238429076854;0.46748121081499505
B_PA2_to_C2;1D;0;12;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-103.32141966006999;125.79182803905901;-92.46580623840764;57.71283808804712;0.46424474106930447
B_PA2_to_C2;1D;0;13;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.82049616719583;126.11807741539545;-92.51715795431706;57.7295263059966;0.45907811012519417
B_PA2_to_C2;1D;0;14;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-102.31957267432168;126.44432679173188;-92.56850967022646;57.75244354009935;0.45198299120793095
B_PA2_to_C2;1D;0;15;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.81864918144751;126.77057616806832;-92.61986138613588;57.78158237873012;0.4429616789383424
B_PA2_to_C2;1D;0;16;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-101.31772568857336;127.09682554440475;-92.67121310204529;57.816933415112786;0.43201708563101704
B_PA2_to_C2;1D;0;17;5.0;0.6;0.6;-101.06726394213628;127.25995023257298;-92.69688896;-123.81;161.25;-51.8;-100.8168021956992;127.4230749207412;-92.7225648179547;57.85848526245045;0.41915273661006935
