4.009,203.7368,-120.546
56.2298,168.5299,-134.9639
-49.285,166.7123,-136.4742
-85.0916,185.0423,-49.6226
-71.5559,172.1118,-131.1914
58.9235,165.8815,-130.5632
83.8697,155.8766,-78.4912
-53.1452,164.8307,-119.3268
-26.1116,173.8417,-126.3949
21.8012,167.913,-45.9523
27.7541,167.8681,-107.2276
12.126,204.1159,-88.0303
-7.2026,175.2177,-129.9351
-57.557,159.0011,-48.6119
-62.8478,159.3612,-111.2613
16.2999,170.9835,-49.6183
29.8967,203.9114,-48.8109
-64.3243,158.4259,-110.7574
11.1605,202.6643,-97.7217
-12.4749,205.1796,-138.7409
-56.6092,190.8837,-85.0616
100.823,179.7534,-56.4162
108.705,171.5371,-50.0596
-76.3303,169.2724,-100.6739
38.0902,162.7914,-118.8224
101.8244,177.8378,-56.6533
-25.332,205.7991,-57.3629
66.7153,160.2157,-91.0777
107.2673,172.5039,-56.5774
-6.8954,175.2048,-135.4673
-21.3816,167.6567,-46.3629
31.4288,190.1224,-119.8248
-49.6092,191.0591,-121.2673
-80.7898,161.7588,-139.3708
34.1479,189.0084,-105.3107
34.8662,164.3597,-137.9852
-14.3589,206.2379,-97.0186
107.4095,175.8623,-56.36
-68.3682,177.66,-92.1756
14.6678,172.2111,-101.6525
104.0022,178.541,-48.056
104.2474,177.7871,-56.447
70.1654,195.1034,-57.3629
-44.8287,168.471,-105.2006
13.8491,163.6972,-79.7404
3.5882,158.582,-76.8686
-63.4224,159.0129,-125.3843
-31.3753,201.5356,-120.546
-38.1125,198.1914,-131.8198
28.3003,192.5846,-113.3384
52.3642,173.4845,-109.7369
-0.1921,205.5613,-99.9009
-10.18,175.1729,-102.1595
49.8037,155.4507,-127.9116
16.0771,171.8001,-112.773
91.4737,185.2835,-48.056
-82.6365,174.1919,-80.2668
31.6006,165.997,-126.9004
22.7285,169.7645,-108.2382
106.2494,176.5668,-56.36
31.2652,166.1217,-135.9707
-12.2998,175.2535,-131.4428
99.222,180.3008,-56.5774
-26.2736,164.2375,-79.251
-12.9018,172.5201,-51.1388
-36.3745,163.903,-57.4684
-40.1694,197.4592,-109.0166
46.4389,167.6412,-42.9969
100.0695,180.1758,-56.447
28.2405,167.4798,-129.4291
-18.3914,174.8853,-120.3357
-59.487,161.358,-105.2006
-67.6444,159.3472,-51.7974
62.6701,177.9383,-78.9375
-10.6496,205.381,-129.2118
-1.302,205.6982,-100.6739
18.6892,202.6867,-85.5446
66.2549,174.0611,-79.0298
107.2436,175.9459,-56.528
-122.8064,165.9941,-48.3545
-70.5475,193.8948,-48.6119
-84.8534,184.525,-50.0596
5.9416,205.7135,-88.9148
-3.9478,205.3647,-116.9411
20.3942,196.4919,-133.7059
106.0235,173.8391,-56.565
-5.3465,206.5712,-46.8383
-44.0434,194.5254,-137.4815
106.3194,176.444,-56.5569
97.9521,181.3379,-56.4182
-6.2068,205.1372,-132.4484
-17.255,201.9536,-50.6291
-11.6991,205.1797,-140.0
51.542,200.8368,-57.3629
29.0715,191.1723,-135.5932
16.1701,206.0059,-46.8383
-1.5,173.1281,-51.7974
-42.3871,169.4927,-137.4815
33.9052,204.5597,-57.3629
-3.5979,205.6332,-109.0166
-68.0043,155.8881,-131.9455
-129.856,156.1085,-50.0596
-75.8576,182.1203,-79.628
-60.5804,160.7674,-129.4291
-2.9671,205.2454,-116.9411
103.2344,178.3771,-56.4162
-18.4867,174.7534,-103.6801
106.4559,173.3506,-56.5774
-78.8637,170.5227,-86.2041
106.8952,176.204,-56.4162
-23.3989,174.3106,-137.4815
106.1566,176.6519,-56.447
-8.0632,206.3204,-99.9009
45.6343,158.1012,-137.4815
69.9244,191.2997,-49.6226
61.2227,165.1889,-98.4248
10.9781,173.0146,-121.8496
-36.2139,199.2523,-127.043
-1.7048,174.8927,-125.3843
-1.6047,206.0883,-48.8109
-74.9413,170.2298,-108.2964
65.8721,159.5542,-107.5762
-72.2411,171.0769,-136.2225
55.0418,159.6853,-48.3545
-94.456,183.8254,-47.3472
49.2003,175.4862,-131.8198
50.8574,174.6844,-114.0588
21.7208,170.0618,-115.293
0.4304,173.1038,-52.4603
-65.5308,157.6442,-122.8591
8.4865,202.9248,-109.7369
-24.176,173.9941,-95.5629
40.1772,202.7159,-48.056
-17.3729,175.0087,-131.4428
21.1654,170.225,-119.3268
39.5293,161.8726,-130.9401
-53.5068,164.559,-97.5956
10.524,204.9248,-87.5421
10.7969,168.4534,-48.056
45.3277,181.8894,-89.8042
-46.5843,193.1402,-121.9887
-105.0417,177.7886,-48.3545
-59.0711,188.5277,-85.7003
-6.342,205.9652,-106.8559
27.2084,167.8968,-138.489
-0.5418,207.3539,-57.3629
52.829,173.6704,-98.4248
24.7135,168.94,-121.8496
-128.8076,162.5344,-57.5633
37.4197,202.7097,-45.9523
-73.6644,170.0486,-130.5632
-40.3849,170.0608,-96.0735
-46.6113,167.7525,-105.2006
92.687,156.7514,-76.5867
28.1365,205.5312,-57.5633
41.424,183.9331,-96.3154
-15.5043,205.8455,-106.0833
-80.7463,188.7195,-76.6869
-29.9006,173.0487,-122.8591
54.763,170.3166,-127.043
-35.7272,199.5805,-121.9887
103.3539,176.4215,-56.5973
40.6016,200.562,-77.6839
73.8312,155.9532,-53.6759
-20.1619,174.7424,-129.9351
-74.3659,169.5338,-127.7657
44.1187,180.8129,-111.1774
22.3916,169.5234,-91.5254
110.5124,173.844,-56.5569
102.8563,178.586,-56.3866
4.1928,174.2134,-132.4484
44.9403,158.5517,-136.9778
-36.3678,199.4268,-113.3384
31.0743,166.3525,-114.2849
