-90.9669,153.1097,-100.6739
96.0874,118.7678,-90.9052
91.3802,135.1383,-84.3671
90.6221,128.4528,-114.0588
-103.0661,124.831,-115.797
104.4471,126.3648,-79.1239
98.832,115.4214,-82.8174
96.5198,122.6458,-90.3727
88.3059,123.0608,-102.1595
-93.4431,134.3656,-124.8791
26.3389,148.5488,-61.6786
-116.1312,109.3943,-116.8053
-82.1389,153.7053,-42.535
80.4771,146.778,-86.6096
-112.8241,111.8713,-139.4967
-128.2968,97.2706,-98.6101
-119.0964,113.4742,-118.3181
-117.0135,107.1547,-130.9401
-128.7167,96.7485,-91.0447
57.3434,150.2282,-116.3012
85.4935,124.0207,-88.5977
98.1914,135.8849,-79.0935
-119.956,110.9889,-126.9004
76.5507,134.2243,-110.2535
-121.7689,103.3591,-96.5809
-80.3801,146.536,-105.2006
-110.5252,116.3797,-115.293
84.7981,126.2165,-117.8138
111.7239,108.3502,-70.878
-119.5691,111.8051,-125.3843
90.9336,148.9161,-42.0001
-101.8346,126.1751,-115.293
-112.5247,125.4306,-98.4248
-129.6859,96.592,-89.0523
96.4214,121.4178,-92.3701
-115.6514,119.338,-112.618
-120.8064,104.185,-103.1733
-118.275,115.2347,-114.2849
91.3611,127.3241,-114.7793
57.2626,150.279,-116.8053
95.0246,152.2376,-76.6665
-95.4971,146.5554,-113.3384
-91.876,135.4582,-134.9639
-124.0039,105.1327,-121.8496
-76.128,149.4598,-139.4967
109.134,110.1705,-76.7804
77.8721,130.2609,-86.5833
-112.9274,123.0425,-114.7793
80.6443,130.3371,-110.7574
75.2929,149.3351,-97.7217
82.6539,154.2778,-79.5967
-80.6803,145.8263,-131.9455
92.7143,120.0578,-102.9926
111.0833,108.1504,-70.809
-32.2605,147.2561,-61.7424
60.7505,150.3461,-63.9129
97.8191,120.4555,-88.0676
67.9989,141.8577,-109.7497
-115.0507,109.0309,-138.489
-115.0481,110.9179,-114.2849
92.1296,129.1154,-90.7588
-112.2269,124.5333,-110.4571
