probe_config,condition,public_condition,scan_id,probe_type,n_elements,pa_x,pa_y,pa_z,source_x,source_y,source_z,focus_x,focus_y,focus_z,beam_dx,beam_dy,beam_dz,source_to_focus_mm,aperture_mm,delay_min_us,delay_max_us,delay_span_us,pa_s_mm,geometry_center_mm_display
1D16,PA1_TO_C1,PA1 → C1,0,1D,16,-149.90804692985947,151.2775293093675,-92.07492606,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,0.4508294089621917,-0.544750258394196,0.7071067811824872,56.95734665795266,9.000000000000007,0.0,1.0858863497585285,1.0858863497585285,0.0,55.68335208627741
1D16,PA1_TO_C1,PA1 → C1,1,1D,16,-148.46207204866772,151.96678324749905,-91.53103465,-148.46207204866772,151.96678324749905,-91.53103465000001,-123.18049367645828,121.3302084076179,-51.8,0.4500016949924408,-0.5453184292426927,0.7071960726928654,56.18107365714283,9.000000000000002,0.0,1.0828036405504378,1.0828036405504378,1.69166551485189,55.461148796429214
1D16,PA1_TO_C1,PA1 → C1,2,1D,16,-147.01213427876158,152.65079213391363,-90.99525989,-147.01213427876158,152.65079213391363,-90.99525989,-122.11948218486496,122.39911263698372,-51.8,0.449185617550604,-0.5458887741456514,0.7072748597592315,55.41729548162187,9.000000000000014,0.0,1.079272506926678,1.079272506926678,3.3820034357267534,55.24252207214799
1D16,PA1_TO_C1,PA1 → C1,3,1D,16,-145.55818013084513,153.32952804921314,-90.46755184,-145.55818013084513,153.32952804921314,-90.46755184000001,-121.04708600941288,123.45658981264891,-51.8,0.4483795773709971,-0.5464633832738061,0.7073425798985604,54.665946797017796,9.000000000000007,0.0,1.075792187759074,1.075792187759074,5.071127733401651,55.02745321187852
1D16,PA1_TO_C1,PA1 → C1,4,1D,16,-144.10015474514572,154.00296279815666,-89.94785963999999,-144.10015474514572,154.00296279815666,-89.94785963999999,-119.96618267894802,124.505387103595,-51.8,0.44755399310607974,-0.5470196846519284,0.7074354301687951,53.92415761661508,8.999999999999995,0.0,1.0778585582157092,1.0778585582157092,6.759153908900538,54.8151206998791
1D16,PA1_TO_C1,PA1 → C1,5,1D,16,-142.641845663311,154.6708453935059,-89.42429788999998,-142.641845663311,154.6708453935059,-89.42429788999998,-118.88008230961648,125.54874606153744,-51.8,0.44680238202036804,-0.547595023032421,0.7074654211839949,53.18181887537765,9.000000000000002,0.0,1.0772442622135348,1.0772442622135348,8.446414838749618,54.60263087952899
1D16,PA1_TO_C1,PA1 → C1,6,1D,16,-141.1848019404851,155.33016413635335,-88.91734501,-141.1848019404851,155.33016413635335,-88.91734501,-117.78134730947552,126.57884134262476,-51.8,0.44611950676024037,-0.5480612219722257,0.7075353578856045,52.46005672553427,9.000000000000007,0.0,1.0742829357756332,1.0742829357756332,10.124115299927508,54.39603097973112
1D16,PA1_TO_C1,PA1 → C1,7,1D,16,-139.71823348336846,155.98731927370824,-88.40964599,-139.71823348336846,155.98731927370824,-88.40964599,-116.67484857184644,127.6005710161018,-51.8,0.4453652313959017,-0.5486377437545942,0.707563733377809,51.740421764172034,8.999999999999991,0.0,1.073911509958231,1.073911509958231,11.809474077419814,54.19003997432755
1D16,PA1_TO_C1,PA1 → C1,8,1D,16,-138.2474612045755,156.63905180031753,-87.90979411999999,-138.24746120457553,156.63905180031753,-87.90979411999999,-115.55750226495442,128.6104265437551,-51.8,0.44461447075937555,-0.54922674905323,0.7075789358903927,51.032884514235406,9.000000000000052,0.0,1.070739099281807,1.070739099281807,13.494044727243946,53.98751186313207
1D16,PA1_TO_C1,PA1 → C1,9,1D,16,-136.77242656157046,157.2853317167316,-87.41773505,-136.77242656157046,157.2853317167316,-87.41773505,-114.43222507492268,129.61145779078277,-51.8,0.44383573330411236,-0.5498005080495858,0.7076222461107466,50.33439133063327,8.999999999999972,0.0,1.0701754059913196,1.0701754059913196,15.17794705718902,53.78757255934202
