condition,scan_id,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,n_elements,delay_std_us,delay_span_us,beam_percent,beam_db,physics_level
A_PA1_to_C1,0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.800000000000004,64,0.3005593879828663,0.939677663118899,58.103849298322785,-4.715901905155619,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,1,-125.58753117731659,139.02719128142942,-65.13280492576665,-123.25,121.26,-51.800000000000004,64,0.2981270131513726,0.9318991016843264,58.57884524366747,-4.645183875091191,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,2,-124.6997361978672,140.1257627151381,-65.53680832565904,-122.26,122.26,-51.800000000000004,64,0.29519014205637906,0.9225887767079676,59.127799827468245,-4.564165619939172,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,3,-123.80814054759924,141.2216765912607,-65.93965723338754,-121.26,123.25,-51.800000000000004,64,0.2922021255323558,0.9131248056291348,59.68598335762091,-4.4825529302300655,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,4,-122.91267870531782,142.31487245796063,-66.3413259657362,-120.25,124.23,-51.800000000000004,64,0.2889774534538022,0.9029444894660532,60.27967996517309,-4.396581241855583,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,5,-122.01174866453802,143.40418686963127,-66.74131078089214,-119.24,125.21000000000001,-51.800000000000004,64,0.2857861539143824,0.8928794194292768,60.87032568461972,-4.311887491256641,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,6,-121.1066310489066,144.49049807357036,-67.13999408581748,-118.22000000000001,126.16999999999999,-51.800000000000004,64,0.2827933769653905,0.8834126124792263,61.43441724317808,-4.23176514033893,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,7,-120.19746436062518,145.57388656308214,-67.53741160967894,-117.19000000000003,127.13,-51.800000000000004,64,0.2797510127190761,0.8738067537494203,62.00711212511785,-4.151169894051511,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,8,-119.2841803722571,146.65428488520172,-67.93353475243892,-116.14999999999999,128.08,-51.800000000000004,64,0.27657779122639325,0.8638074206403328,62.599766591683235,-4.068545721776384,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,9,-118.36592519347504,147.73104304627157,-68.32808255362077,-115.10000000000001,129.02,-51.800000000000004,64,0.27327547623844295,0.8534210666092408,63.21191421312092,-3.9840211592387424,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,10,-117.4425778526772,148.80403214082943,-68.7210026307613,-114.04999999999998,129.95000000000002,-51.800000000000004,64,0.27017774907935455,0.8436624580282599,63.7963639675078,-3.90408145813057,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,11,-116.51492226934701,149.87380453703938,-69.1125338929097,-112.99,130.88,-51.800000000000004,64,0.26712158781925516,0.8340413531887609,64.37607953642036,-3.8255095022292362,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,12,-115.58288695538624,150.94028445626716,-69.50264433810658,-111.91999999999999,131.79,-51.800000000000004,64,0.2640882903558225,0.8244880112754958,64.95360711418112,-3.747934518828921,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,13,-114.64639947593102,152.0033937970841,-69.8913011714731,-110.84000000000002,132.70000000000002,-51.800000000000004,64,0.26084871173636587,0.8143196778965693,65.56085116264798,-3.6671083342328354,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,14,-113.70433653451417,153.06224053959428,-70.27812111471913,-109.76,133.6,-51.800000000000004,64,0.25765358167903907,0.8042932885856473,66.16252804440978,-3.5877581783116934,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,15,-112.75724424129102,154.11719913348915,-70.66326812092449,-108.66999999999999,134.48,-51.800000000000004,64,0.2546293002455585,0.7947854040694811,66.74102750298859,-3.5121422300874947,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,16,-111.80550111618676,155.16853095706622,-71.04685566781224,-107.56999999999996,135.36,-51.800000000000004,64,0.25160039776346166,0.7852744897358779,67.32071089857637,-3.4370261314944544,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,17,-110.84903176800597,156.216148479111,-71.42884697464699,-106.46000000000001,136.24,-51.800000000000004,64,0.24850628364692462,0.7755761373113774,67.90979037398662,-3.361352202492918,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,18,-109.88775968148194,157.25996132776058,-71.80920414042144,-105.35000000000001,137.1,-51.800000000000004,64,0.24547612421753506,0.7660730289936151,68.49030339844622,-3.2874181989501943,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,19,-108.92107988638193,158.2994494986132,-72.1877053882543,-104.23,137.95000000000002,-51.800000000000004,64,0.24231544932670987,0.7561795050354263,69.08879522457418,-3.2118476101754725,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,20,-107.94864743686081,159.33428339378023,-72.56421201203561,-103.10000000000001,138.79,-51.800000000000004,64,0.23921483483426534,0.7464742620770721,69.6789600158769,-3.137966799140041,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,21,-106.97120712934905,160.36502322437607,-72.93896483167389,-101.97000000000001,139.63,-51.800000000000004,64,0.23627026418386624,0.73725376166818,70.24775223634221,-3.067351352150448,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,22,-105.9886806011947,161.39156820008364,-73.3119223265337,-100.83000000000001,140.45000000000002,-51.800000000000004,64,0.23334741675895856,0.7280998512651582,70.81342404738596,-2.997688112567265,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,23,-105.00098799462333,162.4138139103925,-73.68304140133728,-99.68,141.27,-51.800000000000004,64,0.23035447802140047,0.7187428566534848,71.38820005889283,-2.9274713591038486,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,24,-104.00804838927863,163.43165260561457,-74.05227738223643,-98.52999999999999,142.08,-51.800000000000004,64,0.22739664990439093,0.709498588416297,71.95774280265815,-2.8584493644855336,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,25,-103.0094764834653,164.44471236433245,-74.41947317795704,-97.37,142.87,-51.800000000000004,64,0.22433623125354024,0.6999441459920934,72.54026792245784,-2.788416894320363,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,26,-102.00468577891398,165.4524307713405,-74.78439012090907,-96.21000000000001,143.66,-51.800000000000004,64,0.2213584121809848,0.6906511083748192,73.1109275308979,-2.7203541265913738,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,27,-100.994437870225,166.45540656397864,-75.14728615286857,-95.02999999999999,144.44000000000003,-51.800000000000004,64,0.21837150042401998,0.6813343736584834,73.68178916252843,-2.6527967403774353,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,28,-99.97865204218023,167.45352101051787,-75.50811248064947,-93.86,145.21,-51.800000000000004,64,0.21555747435951428,0.6725493024305749,74.22890585374164,-2.588538819441929,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,29,-98.95724657977786,168.4466515454952,-75.86681827461119,-92.66999999999999,145.97,-51.800000000000004,64,0.2126074419069919,0.6633552588019445,74.79261961148204,-2.522825106921181,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,30,-97.93013914227562,169.4346716568485,-76.22335155664793,-91.48,146.72,-51.800000000000004,64,0.20972274987351525,0.6543653103648257,75.34646964467261,-2.458741834407456,Calibrated Gaussian / CIVA-like beam demonstrator
A_PA1_to_C1,31,-96.89724697053715,170.41745089425964,-76.57765923268899,-90.27999999999999,147.46,-51.800000000000004,64,0.20680035472355712,0.6452656514468682,75.90365835460801,-2.3947458352049003,Calibrated Gaussian / CIVA-like beam demonstrator
