config,condition,scan_id,element_id,delay_us,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,element_x,element_y,element_z
1D16,B_PA2_to_C2,0,1,1.5553353935213785,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-115.32790251182185,142.92255605557204,-71.01178877854143
1D16,B_PA2_to_C2,0,2,1.4707074296171625,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-114.79672737691226,143.0302615148291,-71.26918440806924
1D16,B_PA2_to_C2,0,3,1.382972291839975,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-114.26555224200268,143.13796697408617,-71.52658003759704
1D16,B_PA2_to_C2,0,4,1.2922219456861068,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-113.7343771070931,143.24567243334323,-71.78397566712485
1D16,B_PA2_to_C2,0,5,1.1985477394824038,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-113.20320197218352,143.3533778926003,-72.04137129665267
1D16,B_PA2_to_C2,0,6,1.102040136534896,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.67202683727396,143.46108335185735,-72.29876692618048
1D16,B_PA2_to_C2,0,7,1.0027884766235662,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.14085170236436,143.56878881111442,-72.55616255570828
1D16,B_PA2_to_C2,0,8,0.9008807659858338,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.60967656745478,143.67649427037148,-72.81355818523609
1D16,B_PA2_to_C2,0,9,0.7964034946441796,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.0785014325452,143.7841997296285,-73.07095381476391
1D16,B_PA2_to_C2,0,10,0.6894414797102417,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.54732629763564,143.89190518888557,-73.32834944429172
1D16,B_PA2_to_C2,0,11,0.5800777331325051,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.01615116272605,143.99961064814264,-73.58574507381952
1D16,B_PA2_to_C2,0,12,0.4683933522426482,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.48497602781649,144.1073161073997,-73.84314070334733
1D16,B_PA2_to_C2,0,13,0.3544674313887856,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-108.9538008929069,144.21502156665676,-74.10053633287515
1D16,B_PA2_to_C2,0,14,0.2383769929171624,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-108.42262575799732,144.32272702591382,-74.35793196240296
1D16,B_PA2_to_C2,0,15,0.1201969357699077,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-107.89145062308774,144.43043248517088,-74.61532759193076
1D16,B_PA2_to_C2,0,16,0.0,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-107.36027548817816,144.53813794442794,-74.87272322145857
1D16,B_PA2_to_C2,1,1,1.5209639287734689,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-114.37144485475764,143.11978828599942,-71.4838220530727
1D16,B_PA2_to_C2,1,2,1.438536348087842,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-113.83976759127236,143.22715649792517,-71.74032030757097
1D16,B_PA2_to_C2,1,3,1.3530342757046334,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-113.30809032778706,143.3345247098509,-71.99681856206924
1D16,B_PA2_to_C2,1,4,1.2645443398933391,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-112.77641306430176,143.44189292177663,-72.2533168165675
1D16,B_PA2_to_C2,1,5,1.1731528039646708,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-112.24473580081649,143.54926113370237,-72.50981507106577
1D16,B_PA2_to_C2,1,6,1.078945310174781,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-111.71305853733118,143.65662934562812,-72.76631332556406
1D16,B_PA2_to_C2,1,7,0.9820066490861395,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-111.18138127384589,143.76399755755384,-73.02281158006232
1D16,B_PA2_to_C2,1,8,0.8824205538988377,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-110.6497040103606,143.87136576947958,-73.27930983456059
1D16,B_PA2_to_C2,1,9,0.7802695189924425,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-110.11802674687527,143.97873398140533,-73.53580808905886
1D16,B_PA2_to_C2,1,10,0.675634641697215,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-109.58634948339,144.08610219333107,-73.79230634355713
1D16,B_PA2_to_C2,1,11,0.5685954861408291,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-109.0546722199047,144.1934704052568,-74.0488045980554
1D16,B_PA2_to_C2,1,12,0.4592299678894687,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-108.5229949564194,144.30083861718254,-74.30530285255368
1D16,B_PA2_to_C2,1,13,0.3476142580148273,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-107.99131769293412,144.40820682910828,-74.56180110705195
1D16,B_PA2_to_C2,1,14,0.2338227051670465,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-107.45964042944884,144.515575041034,-74.81829936155022
1D16,B_PA2_to_C2,1,15,0.1179277742125073,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-106.92796316596352,144.62294325295974,-75.07479761604849
1D16,B_PA2_to_C2,1,16,0.0,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.07,-51.8,-106.39628590247824,144.7303114648855,-75.33129587054675
1D16,B_PA2_to_C2,2,1,1.4864052640740386,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-113.41692466002038,143.31835133122962,-71.95939896919066
1D16,B_PA2_to_C2,2,2,1.4061913093074505,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-112.88424536681217,143.425042181698,-72.2140945384759
1D16,B_PA2_to_C2,2,3,1.322934431398851,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-112.35156607360396,143.53173303216636,-72.46879010776117
1D16,B_PA2_to_C2,2,4,1.236716239330221,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-111.81888678039574,143.63842388263473,-72.72348567704641
1D16,B_PA2_to_C2,2,5,1.1476181988641958,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-111.28620748718754,143.7451147331031,-72.97818124633166
1D16,B_PA2_to_C2,2,6,1.0557213884343355,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-110.75352819397934,143.85180558357146,-73.2328768156169
1D16,B_PA2_to_C2,2,7,0.9611062770421022,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-110.22084890077112,143.95849643403983,-73.48757238490217
1D16,B_PA2_to_C2,2,8,0.8638525239676138,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-109.68816960756293,144.0651872845082,-73.74226795418741
1D16,B_PA2_to_C2,2,9,0.7640387998445544,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-109.1554903143547,144.1718781349766,-73.99696352347266
1D16,B_PA2_to_C2,2,10,0.6617426284354373,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-108.62281102114648,144.27856898544496,-74.2516590927579
1D16,B_PA2_to_C2,2,11,0.5570402482698196,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-108.09013172793829,144.38525983591333,-74.50635466204317
1D16,B_PA2_to_C2,2,12,0.4500064931725145,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-107.55745243473008,144.4919506863817,-74.76105023132841
1D16,B_PA2_to_C2,2,13,0.3407146906084755,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-107.02477314152186,144.59864153685007,-75.01574580061366
1D16,B_PA2_to_C2,2,14,0.2292365767018882,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-106.49209384831364,144.70533238731844,-75.2704413698989
1D16,B_PA2_to_C2,2,15,0.1156422267456367,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-105.95941455510544,144.8120232377868,-75.52513693918416
1D16,B_PA2_to_C2,2,16,0.0,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.66,162.88,-51.8,-105.42673526189722,144.91871408825517,-75.77983250846941
1D16,B_PA2_to_C2,3,1,1.4526379253809996,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-112.46058674584036,143.51572783945025,-72.43180976361603
1D16,B_PA2_to_C2,3,2,1.3745770491460243,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-111.9269064472528,143.62173564974833,-72.68468855484872
1D16,B_PA2_to_C2,3,3,1.2935048807019136,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-111.39322614866524,143.7277434600464,-72.93756734608142
1D16,B_PA2_to_C2,3,4,1.2094983447741487,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-110.85954585007772,143.8337512703445,-73.19044613731411
1D16,B_PA2_to_C2,3,5,1.1226344119039222,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-110.32586555149015,143.93975908064257,-73.4433249285468
1D16,B_PA2_to_C2,3,6,1.0329898666128958,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-109.7921852529026,144.04576689094063,-73.69620371977949
1D16,B_PA2_to_C2,3,7,0.940641094544171,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-109.25850495431504,144.1517747012387,-73.9490825110122
1D16,B_PA2_to_C2,3,8,0.8456638886099022,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-108.72482465572747,144.2577825115368,-74.20196130224488
1D16,B_PA2_to_C2,3,9,0.7481332739384889,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-108.19114435713996,144.36379032183487,-74.45484009347757
1D16,B_PA2_to_C2,3,10,0.6481233512115878,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-107.6574640585524,144.46979813213295,-74.70771888471026
1D16,B_PA2_to_C2,3,11,0.5457071578114512,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-107.12378375996484,144.57580594243103,-74.96059767594296
1D16,B_PA2_to_C2,3,12,0.4409565460617237,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-106.59010346137728,144.6818137527291,-75.21347646717565
1D16,B_PA2_to_C2,3,13,0.3339420777369444,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-106.05642316278971,144.78782156302717,-75.46635525840834
1D16,B_PA2_to_C2,3,14,0.2247329339361723,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-105.5227428642022,144.89382937332525,-75.71923404964103
1D16,B_PA2_to_C2,3,15,0.1133968393603659,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-104.98906256561465,144.99983718362333,-75.97211284087373
1D16,B_PA2_to_C2,3,16,0.0,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.57,163.68,-51.8,-104.45538226702708,145.1058449939214,-76.22499163210642
1D16,B_PA2_to_C2,4,1,1.4197934503777905,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,-111.50243329026496,143.71190745275857,-72.90103215890275
1D16,B_PA2_to_C2,4,2,1.34381051991004,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,-110.96775295765572,143.81722640398775,-73.15207968514602
1D16,B_PA2_to_C2,4,3,1.2648490425207974,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,-110.43307262504648,143.92254535521693,-73.40312721138929
1D16,B_PA2_to_C2,4,4,1.1829815333852451,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,-109.89839229243724,144.0278643064461,-73.65417473763256
1D16,B_PA2_to_C2,4,5,1.098280713007977,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,-109.36371195982802,144.13318325767528,-73.90522226387584
1D16,B_PA2_to_C2,4,6,1.010819287995547,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,-108.82903162721878,144.23850220890446,-74.15626979011911
1D16,B_PA2_to_C2,4,7,0.9206697481301288,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,-108.29435129460956,144.34382116013364,-74.40731731636238
1D16,B_PA2_to_C2,4,8,0.8279041799403828,-107.49233079569572,144.50179958697743,-74.78388860572728,-119.48,164.48,-51.8,-107.75967096200031,144.44914011136282,-74.65836484260565
