layer,edge_label,model_x,model_y,model_z,nearest_condition,nearest_scan_id,scan_pixel,equivalent_path_mm,amplitude_percent
geometry_echo,Upper groove edge,-35.3677,200.70833,-106.68669666666668,B_PA2_to_C2,72,282.4633555120598,47.8363344949932,32.0
geometry_echo,Upper groove edge,-28.570700000000002,202.98830133333337,-106.97237666666666,B_PA2_to_C2,77,285.5003509433796,49.68452145971507,32.0
geometry_echo,Upper groove edge,-21.569,204.8488263333333,-107.02823666666669,B_PA2_to_C2,83,289.1458631018947,51.03091441927685,32.0
geometry_echo,Upper groove edge,-14.66525,205.710364,-104.00088333333335,B_PA2_to_C2,88,292.18205603069043,51.26985241102795,32.0
geometry_echo,Upper groove edge,-7.748,205.88503866666662,-101.92339333333334,B_PA2_to_C2,93,295.2203262655326,51.21974829720538,32.0
geometry_echo,Upper groove edge,-0.8423,205.22045200000005,-98.66181666666665,B_PA2_to_C2,98,298.2548715723616,50.55238814371428,32.0
geometry_echo,Upper groove edge,5.63655,204.26150633333336,-100.66659000000001,B_PA2_to_C2,103,301.2934953092537,49.70276982076836,32.0
geometry_echo,Upper groove edge,12.9633,202.62804066666666,-102.71923666666666,B_PA2_to_C2,108,304.3308347163188,48.56916789644044,32.0
geometry_echo,Upper groove edge,19.8953,201.0992523333333,-104.92466999999999,B_PA2_to_C2,113,307.3695908645284,47.7048049918592,32.0
geometry_echo,Upper groove edge,26.7599,197.87614999999994,-106.87464666666666,B_PA2_to_C2,119,311.0129717963465,45.15193516234768,32.0
geometry_echo,Upper groove edge,33.6577,194.3318983333333,-107.16875999999999,B_PA2_to_C2,124,314.0502165939883,42.60502866020488,32.0
geometry_echo,Upper groove edge,40.6161,190.39350366666665,-106.27944999999998,B_PA2_to_C2,130,317.6934816238508,39.364523661550116,32.0
geometry_echo,Upper groove edge,47.607150000000004,190.16487766666665,-99.28426999999998,B_PA2_to_C2,135,320.7332393667339,39.14649271679109,32.0
geometry_echo,Upper groove edge,54.4233,190.60447533333334,-92.57183333333333,B_PA2_to_C2,140,323.76955707736624,40.50621897514479,32.0
geometry_echo,Upper groove edge,61.36555,191.56927599999995,-86.17161333333331,B_PA2_to_C2,145,326.80684239581433,43.16272836155358,32.0
geometry_echo,Upper groove edge,68.18465,191.46479733333334,-78.67273,B_PA2_to_C2,150,329.84286400573467,45.828924285295564,32.0
geometry_echo,Upper groove edge,75.1153,190.93909866666664,-71.14931333333335,B_PA2_to_C2,155,332.88084414771606,48.97890833630375,32.0
geometry_echo,Upper groove edge,82.155,189.65627466666666,-66.09560666666667,B_PA2_to_C2,160,335.91754013617714,50.99234660653084,32.0
geometry_echo,Upper groove edge,88.9885,186.43732333333335,-61.912903333333325,B_PA2_to_C2,165,338.9570372428081,51.3979102849699,32.0
geometry_echo,Upper groove edge,96.137,182.74970100000002,-59.05382333333331,B_PA2_to_C2,171,342.6013667517375,50.55030966874662,32.0
geometry_echo,Upper groove edge,102.8076,178.80007600000002,-55.21443666666666,B_PA2_to_C2,177,346.246255502183,50.06303825669692,32.0
geometry_echo,Upper groove edge,109.7238,175.76413200000002,-56.54267333333333,B_PA2_to_C2,182,349.28408213801157,48.02876769723951,32.0
