model_x,model_y,model_z,edge_label,extraction
-32.62665,201.66144233333335,-106.69580333333334,Upper groove edge,x-binning quantile 0.85
-31.2228,202.11357900000002,-106.79183666666667,Upper groove edge,x-binning quantile 0.85
-29.86675,202.58121433333332,-106.85940333333333,Upper groove edge,x-binning quantile 0.85
-28.570700000000002,202.98830133333337,-106.97237666666666,Upper groove edge,x-binning quantile 0.85
-27.14345,203.45478999999997,-106.70249666666666,Upper groove edge,x-binning quantile 0.85
-25.7638,203.89022233333333,-106.56329666666666,Upper groove edge,x-binning quantile 0.85
-24.3601,204.18393366666666,-106.88429333333333,Upper groove edge,x-binning quantile 0.85
-22.96725,204.53202733333333,-106.99184666666667,Upper groove edge,x-binning quantile 0.85
-21.569,204.8488263333333,-107.02823666666669,Upper groove edge,x-binning quantile 0.85
-20.277549999999998,205.0712363333333,-107.23094333333336,Upper groove edge,x-binning quantile 0.85
-18.8354,205.3070513333333,-107.39136666666668,Upper groove edge,x-binning quantile 0.85
-17.3604,205.47528799999995,-107.16842666666668,Upper groove edge,x-binning quantile 0.85
-16.110500000000002,205.56024466666665,-104.78946333333334,Upper groove edge,x-binning quantile 0.85
-14.66525,205.710364,-104.00088333333335,Upper groove edge,x-binning quantile 0.85
-13.29465,205.77034799999998,-103.94937666666668,Upper groove edge,x-binning quantile 0.85
-11.82685,205.861801,-103.34073000000001,Upper groove edge,x-binning quantile 0.85
-10.6496,205.917379,-102.74604,Upper groove edge,x-binning quantile 0.85
-9.138,205.8972063333333,-102.54333333333334,Upper groove edge,x-binning quantile 0.85
-7.748,205.88503866666662,-101.92339333333334,Upper groove edge,x-binning quantile 0.85
-6.6427,205.781592,-101.82202666666667,Upper groove edge,x-binning quantile 0.85
-5.0056,205.62990666666667,-101.11898666666667,Upper groove edge,x-binning quantile 0.85
-3.5963,205.49046700000002,-99.12842333333333,Upper groove edge,x-binning quantile 0.85
-2.238,205.32612033333336,-99.12163666666667,Upper groove edge,x-binning quantile 0.85
-0.8423,205.22045200000005,-98.66181666666665,Upper groove edge,x-binning quantile 0.85
0.5743,205.11323400000003,-97.81351,Upper groove edge,x-binning quantile 0.85
1.8341,205.02831400000005,-97.02909666666666,Upper groove edge,x-binning quantile 0.85
3.2704,204.7745766666667,-97.50962333333332,Upper groove edge,x-binning quantile 0.85
4.7333,204.6102156666667,-100.04595666666665,Upper groove edge,x-binning quantile 0.85
5.63655,204.26150633333336,-100.66659000000001,Upper groove edge,x-binning quantile 0.85
7.42995,203.92106433333333,-100.84589,Upper groove edge,x-binning quantile 0.85
8.76535,203.61367633333333,-101.35602666666666,Upper groove edge,x-binning quantile 0.85
10.186350000000001,203.4215643333333,-101.95071666666665,Upper groove edge,x-binning quantile 0.85
11.6056,202.976946,-102.18720333333333,Upper groove edge,x-binning quantile 0.85
12.9633,202.62804066666666,-102.71923666666666,Upper groove edge,x-binning quantile 0.85
14.31105,202.31061166666666,-102.85806,Upper groove edge,x-binning quantile 0.85
15.7247,202.00389466666664,-103.10640666666667,Upper groove edge,x-binning quantile 0.85
17.1795,201.76288299999996,-105.01985333333333,Upper groove edge,x-binning quantile 0.85
18.498,201.5698483333333,-104.81812666666666,Upper groove edge,x-binning quantile 0.85
19.8953,201.0992523333333,-104.92466999999999,Upper groove edge,x-binning quantile 0.85
21.3689,200.51206266666662,-105.90752333333333,Upper groove edge,x-binning quantile 0.85
22.6502,199.5958093333333,-106.54873666666667,Upper groove edge,x-binning quantile 0.85
24.09675,198.85129066666664,-106.71031,Upper groove edge,x-binning quantile 0.85
25.42355,198.22221666666664,-106.83717333333334,Upper groove edge,x-binning quantile 0.85
26.7599,197.87614999999994,-106.87464666666666,Upper groove edge,x-binning quantile 0.85
28.15015,197.08266866666662,-106.80707999999998,Upper groove edge,x-binning quantile 0.85
29.5654,196.31184799999997,-107.10301333333332,Upper groove edge,x-binning quantile 0.85
30.9212,195.5404506666667,-107.10301333333332,Upper groove edge,x-binning quantile 0.85
32.289,195.22820366666667,-107.06923333333332,Upper groove edge,x-binning quantile 0.85
33.6577,194.3318983333333,-107.16875999999999,Upper groove edge,x-binning quantile 0.85
35.03015,193.31414466666664,-107.17242999999999,Upper groove edge,x-binning quantile 0.85
36.4616,192.73949033333332,-107.45645666666667,Upper groove edge,x-binning quantile 0.85
37.8019,191.823695,-107.41013999999998,Upper groove edge,x-binning quantile 0.85
39.1959,190.83456466666664,-106.97086666666664,Upper groove edge,x-binning quantile 0.85
40.6161,190.39350366666665,-106.27944999999998,Upper groove edge,x-binning quantile 0.85
41.9829,190.13733299999998,-105.00538666666665,Upper groove edge,x-binning quantile 0.85
43.4499,190.31085766666666,-103.48955333333332,Upper groove edge,x-binning quantile 0.85
44.7938,190.52297766666663,-101.85687999999999,Upper groove edge,x-binning quantile 0.85
46.1437,190.55011933333333,-100.68566999999999,Upper groove edge,x-binning quantile 0.85
47.607150000000004,190.16487766666665,-99.28426999999998,Upper groove edge,x-binning quantile 0.85
48.8811,190.41641499999997,-97.75387,Upper groove edge,x-binning quantile 0.85
50.19735,190.53558966666665,-96.49952333333331,Upper groove edge,x-binning quantile 0.85
51.64265,190.534453,-95.09823333333331,Upper groove edge,x-binning quantile 0.85
53.0195,190.4501146666667,-93.53474666666666,Upper groove edge,x-binning quantile 0.85
54.4233,190.60447533333334,-92.57183333333333,Upper groove edge,x-binning quantile 0.85
55.8401,190.8516996666667,-91.99558666666667,Upper groove edge,x-binning quantile 0.85
57.184650000000005,190.6401083333333,-91.21224,Upper groove edge,x-binning quantile 0.85
58.6081,190.83879266666662,-90.06596333333333,Upper groove edge,x-binning quantile 0.85
59.9375,191.3822153333333,-88.73062333333333,Upper groove edge,x-binning quantile 0.85
61.36555,191.56927599999995,-86.17161333333331,Upper groove edge,x-binning quantile 0.85
62.79365,191.66176099999998,-85.26671666666665,Upper groove edge,x-binning quantile 0.85
64.1608,191.6106,-83.29641666666664,Upper groove edge,x-binning quantile 0.85
65.4784,191.4858506666667,-81.58435666666665,Upper groove edge,x-binning quantile 0.85
66.8175,191.36586233333333,-79.38699666666666,Upper groove edge,x-binning quantile 0.85
68.18465,191.46479733333334,-78.67273,Upper groove edge,x-binning quantile 0.85
69.688,191.36600133333332,-76.95270333333333,Upper groove edge,x-binning quantile 0.85
71.07655,191.25632866666666,-74.71459666666667,Upper groove edge,x-binning quantile 0.85
72.4479,191.16017399999996,-72.72032000000002,Upper groove edge,x-binning quantile 0.85
73.79775000000001,190.97879466666663,-72.23966,Upper groove edge,x-binning quantile 0.85
75.1153,190.93909866666664,-71.14931333333335,Upper groove edge,x-binning quantile 0.85
76.53975,190.92713299999997,-69.8186,Upper groove edge,x-binning quantile 0.85
77.8055,190.90335766666664,-68.65903333333334,Upper groove edge,x-binning quantile 0.85
79.303,190.6876073333333,-67.93616,Upper groove edge,x-binning quantile 0.85
80.6029,190.17400099999995,-66.38962,Upper groove edge,x-binning quantile 0.85
82.155,189.65627466666666,-66.09560666666667,Upper groove edge,x-binning quantile 0.85
83.4832,189.07099599999998,-64.38889666666667,Upper groove edge,x-binning quantile 0.85
84.9122,188.44736699999999,-63.93365666666666,Upper groove edge,x-binning quantile 0.85
86.2582,187.80121366666668,-63.31973666666666,Upper groove edge,x-binning quantile 0.85
87.6528,187.11401333333333,-63.25002333333332,Upper groove edge,x-binning quantile 0.85
88.9885,186.43732333333335,-61.912903333333325,Upper groove edge,x-binning quantile 0.85
90.2536,185.73907933333336,-61.85092333333333,Upper groove edge,x-binning quantile 0.85
91.69225,185.0258846666667,-61.79526333333332,Upper groove edge,x-binning quantile 0.85
93.06995,184.28310066666668,-61.73960333333332,Upper groove edge,x-binning quantile 0.85
94.3546,183.50711066666668,-60.40377666666665,Upper groove edge,x-binning quantile 0.85
96.137,182.74970100000002,-59.05382333333331,Upper groove edge,x-binning quantile 0.85
97.94104999999999,181.98759033333334,-57.709789999999984,Upper groove edge,x-binning quantile 0.85
