probe_config,condition,public_condition,scan_id,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,source_to_focus_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,detection_status,minus_6db_width_scan_id,v62c_layer,physics_chain,public_label,confidential_name_displayed,hardware_status,display_note
1D16,PA1_TO_C1,PA1 → C1,0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,1.0280202406246728,-0.5759963036720268,0.972933422169452,0.3500683377696492,0.44684268255087495,0.6492289944032088,1.1569120117789864,58.99151202000138,1.9611499555846768,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,36.278181819081446,MEDIUM,12.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D16,PA1_TO_C1,PA1 → C1,50,EDM_02,C1,-66.245,159.7865,-51.63,3.0,-74.69426407127305,178.1270569580981,-72.06232435999999,-61.89954627987828,161.43774762125824,-51.8,28.727094730090545,29.20273339898191,4.651718686725452,4.5748330450470105,28.360480853496508,1.113290983084065,16,2.0886205362476935,-0.9813171176598616,0.9751172315191073,0.617326685627481,0.9103969235855591,1.1450458803547765,2.1382155916542533,115.0577226485634,1.8583851152567123,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,67.04967466207508,STRONG,26.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D16,PA1_TO_C1,PA1 → C1,96,EDM_03,C1,0.0,173.11,-51.63,3.0,-3.843236030686029,186.78552779633588,-65.72927873,5.973651988992262,172.79263645429106,-51.8,20.014499354271862,22.04987765134326,5.984491432505871,5.313386684458265,19.296323648394022,1.227046003250693,16,2.9978266724515246,0.993750341722905,0.965523283347587,0.8773400326930443,1.2908399983168208,1.6260117425254512,3.035353418828253,152.3817979006025,1.9919396283854005,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,95.18191711407206,STRONG,25.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D16,PA1_TO_C1,PA1 → C1,140,EDM_04,C1,67.37,159.429,-51.63,8.0,63.760866696173906,180.03991850661208,-69.9021585,70.15830933496864,158.02353773571153,-51.8,27.779625287971633,29.211922855660678,3.1271221792267867,2.7075889274381364,27.647360513078418,0.7781590808316885,16,2.1598563471617287,0.9998750557416156,0.9908523644097429,1.0592948460666756,0.9607959920775087,1.966161896173108,3.1890021874538337,115.02152790838622,2.772526365667695,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,100.0,STRONG,27.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D16,PA1_TO_C1,PA1 → C1,160,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,94.31223338190297,172.17488171092018,-75.21046543999998,96.48753413538964,143.47098968365705,-51.8,36.56878715919862,37.10384404611377,1.1945968544137189,1.0602305722226384,36.55341441546186,0.421693315743104,16,1.640743504530131,-0.7783453190340295,0.9986038487406862,0.49662960515454185,0.7370395405048725,0.9222368490410451,1.7247247957603677,90.55665487985803,1.9045809477487532,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,54.083525014368966,MEDIUM,29.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D16,PA2_TO_C2,PA2 → C2,172,EDM_06,C2,94.9125,178.63,-51.36,4.0,74.69654769593639,139.3256928081772,-97.01785697,95.43,179.51,-51.8,63.5464648464596,63.947706588204085,1.1116682283847115,1.0334392848740028,63.53806101642388,0.0556321246311206,16,0.9441909970125241,-0.6806010171039806,0.9986932865652106,0.33003502348310215,0.4241862736631753,0.6128788665966746,1.0936801309943616,52.542932018453214,2.0814980987552394,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,85.86435418915538,STRONG,32.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D16,PA2_TO_C2,PA2 → C2,145,EDM_07,C2,61.687000000000005,192.4055,-51.36,6.0,47.598933361388,151.04939742262195,-96.73057258,61.85,193.66,-51.8,62.98642471391462,63.541425107657645,1.3393801738117581,1.2135890720104634,62.97473223290379,0.0873429995525398,16,0.9525862163556827,-0.9999039907477321,0.9981836466982568,0.40759459611527993,0.42768430711983474,0.7568837312514741,1.273730107589271,52.87888954815199,2.4087686380581066,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,100.0,STRONG,32.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D16,PA2_TO_C2,PA2 → C2,117,EDM_08,C2,24.747500000000002,200.793,-51.36,4.0,19.045432453321975,158.07682644507008,-95.87908323,24.94,201.76,-51.8,61.96074425893738,62.33723732080004,1.0796968324487979,1.0088340831708793,61.95253088384746,0.0947239320984074,16,0.9683550563766097,0.8590253697495512,0.9987566976661978,0.33850288439627363,0.4350767874582756,0.6286063013711828,1.1217487785805857,53.90036749156463,2.0811523757349866,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,88.06801157457656,STRONG,32.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D16,PA2_TO_C2,PA2 → C2,74,EDM_09,C2,-33.2785,199.578,-51.36,4.0,-25.38325947836276,158.00749812419178,-95.07276046000001,-32.97,200.61,-51.8,60.83787369833382,61.196924723791774,1.1635275028979855,1.1034454771896978,60.82786601725633,0.0813001286154317,16,0.9862277616326889,0.4468376798475261,0.9985194861745831,0.34466867322880357,0.44297343109684956,0.6400494046701302,1.1421532071966267,54.90471972513546,2.0802459477336104,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,89.66995444257232,STRONG,31.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
1D16,PA2_TO_C2,PA2 → C2,20,EDM_10,C2,-100.4165,175.5925,-51.36,3.0,-81.00797007779987,139.09895099755246,-94.14684997,-101.35,176.24,-51.8,59.49104708181112,59.88748955115404,1.2183096896930596,1.1481306120280141,59.47996703923088,0.1263923150381636,16,1.008555117839647,0.8395677717373268,0.9983941745396331,0.3052111195152843,0.4529305914767908,0.5667725345401861,1.059931396425809,56.10520703376607,1.8891854294163914,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,83.21475563075848,STRONG,32.0,Complete physics scan demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,Wedge/refraction/card export pending,Scan images normalized for detectability demonstration
