condition,scan_id,probe_x,probe_y,probe_z,focus_x,focus_y,focus_z,n_elements,scan_s_mm,scan_pixel
B_PA2_to_C2,0,-111.344089,143.730347,-72.94225599999999,-123.80999999999997,161.25,-51.800000000000004,64,0.0,0.0
B_PA2_to_C2,1,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.06999999999996,-51.800000000000004,64,1.3480726983363682,1.6070182357481184
B_PA2_to_C2,2,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.65999999999998,162.88,-51.800000000000004,64,2.6980726983363965,3.216333980319842
B_PA2_to_C2,3,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.56999999999996,163.68000000000004,-51.800000000000004,64,4.050145181600553,4.828120302630323
B_PA2_to_C2,4,-107.4923307956957,144.50179958697743,-74.7838886057273,-119.48,164.48,-51.800000000000004,64,5.402217664864613,6.43990662494069
B_PA2_to_C2,5,-106.5248704079047,144.69156262453674,-75.23605239698662,-118.39,165.27,-51.800000000000004,64,6.748397444834599,8.044668339703469
B_PA2_to_C2,6,-105.55560598576687,144.8800661623952,-75.68486654027399,-117.28999999999999,166.05999999999997,-51.800000000000004,64,8.102686926444775,9.659097514120571
B_PA2_to_C2,7,-104.58453988214106,145.06729927392988,-76.1303048784166,-116.18000000000004,166.83,-51.800000000000004,64,9.453612535055392,11.26951666351476
B_PA2_to_C2,8,-103.61167478761367,145.25325172348178,-76.57234104120653,-115.06999999999996,167.6,-51.800000000000004,64,10.804538143666068,12.879935812909025
B_PA2_to_C2,9,-102.63701375124137,145.4379140468565,-77.01094843943008,-113.95000000000002,168.36,-51.800000000000004,64,12.158052088921126,14.493440481498883
B_PA2_to_C2,10,-101.6605600506468,145.62127561992435,-77.4461008038966,-112.83000000000001,169.12,-51.800000000000004,64,13.511566034176216,16.10694515008878
B_PA2_to_C2,11,-100.68231730915193,145.80332558276277,-77.877772044352,-111.70000000000002,169.86,-51.800000000000004,64,14.862306571807334,17.717143679008032
B_PA2_to_C2,12,-99.70228929415877,145.98405451638737,-78.30593509369717,-110.56999999999996,170.6,-51.800000000000004,64,16.213047109438484,19.327342207927316
B_PA2_to_C2,13,-98.7204801590521,146.16345228221533,-78.73056335422048,-109.43000000000004,171.32999999999998,-51.800000000000004,64,17.56674574650651,20.941067044993105
B_PA2_to_C2,14,-97.73689414441262,146.34150742262747,-79.15163026818743,-108.28999999999999,172.05999999999997,-51.800000000000004,64,18.92044438357463,22.554791882059003
B_PA2_to_C2,15,-96.75153606554488,146.5182102967413,-79.56910911524014,-107.14999999999999,172.77,-51.800000000000004,64,20.2634633707822,24.15578566085298
B_PA2_to_C2,16,-95.76441098545335,146.6935506411538,-79.98297329248382,-106.0,173.48,-51.800000000000004,64,21.61498103622352,25.766910592750378
B_PA2_to_C2,17,-94.7755246978455,146.8675188399196,-80.39319692783319,-104.84000000000002,174.18000000000004,-51.800000000000004,64,22.969824200578724,27.381999804470496
B_PA2_to_C2,18,-93.78488196301028,147.04010262552612,-80.79975203414823,-103.68000000000004,174.88,-51.800000000000004,64,24.324667364933884,28.997089016190564
B_PA2_to_C2,19,-92.79243553795601,147.21124955115144,-81.20249796185014,-102.52,175.55999999999997,-51.800000000000004,64,25.669286270051636,30.59999003430519
B_PA2_to_C2,20,-91.79822993559468,147.38097891626882,-81.6014867311795,-101.35000000000001,176.24,-51.800000000000004,64,27.022541604421324,32.21318641654724
B_PA2_to_C2,21,-90.80229103355435,147.54929578769315,-81.99673259850911,-100.16999999999999,176.91000000000003,-51.800000000000004,64,28.3794867027949,33.83078131383018
B_PA2_to_C2,22,-89.80462601702506,147.71619055711744,-82.38820952039464,-98.99,177.56999999999996,-51.800000000000004,64,29.73152220528731,35.44252355189013
B_PA2_to_C2,23,-88.80524149658001,147.88165129826228,-82.77589017906962,-97.81,178.22,-51.800000000000004,64,31.078704449825896,37.048480290366705
B_PA2_to_C2,24,-87.80414478986354,148.0456683441914,-83.15974727592672,-96.62,178.87,-51.800000000000004,64,32.43465430140596,38.664888768142596
B_PA2_to_C2,25,-86.8013441490417,148.2082311006223,-83.53975553399744,-95.43,179.51,-51.800000000000004,64,33.78583896680147,40.27561673543506
B_PA2_to_C2,26,-85.79684713155581,148.36932931117394,-83.91588687010773,-94.24,180.14,-51.800000000000004,64,35.13231585111847,41.88073262405223
B_PA2_to_C2,27,-84.79066219213736,148.52895259434032,-84.28811479164705,-93.03999999999999,180.76,-51.800000000000004,64,36.48301937151072,43.49088702524901
B_PA2_to_C2,28,-83.78279833852454,148.68709051038687,-84.65641348019483,-91.83000000000001,181.38,-51.800000000000004,64,37.84261489959985,45.11164146199204
B_PA2_to_C2,29,-82.77326448436182,148.84373269838642,-85.0207559726652,-90.63,181.98,-51.800000000000004,64,39.18425568609974,46.71099230738006
B_PA2_to_C2,30,-81.76207001190437,148.99886944655137,-85.38111544941161,-89.40999999999998,182.57999999999998,-51.800000000000004,64,40.54381443804834,48.33170290381051
B_PA2_to_C2,31,-80.74922459345134,149.15248953395547,-85.73746566339398,-88.20000000000002,183.17000000000002,-51.800000000000004,64,41.88999421801829,49.93646461857325
B_PA2_to_C2,32,-79.7347381671976,149.3045824755824,-86.08977990629651,-86.98,183.75,-51.800000000000004,64,43.240845801279754,51.54679552340456
B_PA2_to_C2,33,-78.71862135234821,149.4551382571482,-86.4380323272578,-85.76,184.32999999999998,-51.800000000000004,64,44.591697384541206,53.157126428235856
B_PA2_to_C2,34,-77.70088469592275,149.60414667348581,-86.78219602640095,-84.52999999999999,184.89,-51.800000000000004,64,45.943178054029325,54.76820725778513
B_PA2_to_C2,35,-76.68153940290324,149.75159744535128,-87.12224516612059,-83.29999999999997,185.45000000000002,-51.800000000000004,64,47.29465872351745,56.37928808733441
B_PA2_to_C2,36,-75.66059697847993,149.8974803307656,-87.45815384885604,-82.06,186.0,-51.800000000000004,64,48.6511615801307,57.996355794522685
B_PA2_to_C2,37,-74.63806924818577,150.04178512486584,-87.7898962109968,-80.81999999999998,186.54,-51.800000000000004,64,50.00364078514645,59.60862696403206
B_PA2_to_C2,38,-73.61396815521525,150.18450169084593,-88.11744574553933,-79.58,187.07999999999998,-51.800000000000004,64,51.35611999016217,61.2208981335414
B_PA2_to_C2,39,-72.58830630330328,150.32561996117698,-88.44077702518774,-78.34000000000002,187.59999999999997,-51.800000000000004,64,52.700738895279876,62.82379915165597
B_PA2_to_C2,40,-71.56109641508871,150.46512977948345,-88.7598640362138,-77.09000000000002,188.12,-51.800000000000004,64,54.054585267657494,64.43770010187713
B_PA2_to_C2,41,-70.53235169037065,150.6030210563669,-89.07468130687656,-75.84000000000002,188.63,-51.800000000000004,64,55.40462230418649,66.04705999716677
B_PA2_to_C2,42,-69.50208597534196,150.73928382249213,-89.38520441788361,-74.58,189.13,-51.800000000000004,64,56.76020336041295,67.66302883926186
B_PA2_to_C2,43,-68.47031288272552,150.8739081752133,-89.69140715404404,-73.31999999999998,189.62,-51.800000000000004,64,58.11212791452093,69.27463881733522
B_PA2_to_C2,44,-67.43704656234294,151.00688424031952,-89.9932640606525,-72.06,190.09999999999997,-51.800000000000004,64,59.46046021777555,70.88196652440355
B_PA2_to_C2,45,-66.40230189331928,151.13820215259082,-90.29075113844434,-70.79,190.57999999999998,-51.800000000000004,64,60.8181420656324,72.50043969023706
B_PA2_to_C2,46,-65.36609387181097,151.2678522055928,-90.58384371028333,-69.52,191.04,-51.800000000000004,64,62.16888260326353,74.11063821915633
B_PA2_to_C2,47,-64.32843764514976,151.39582463511093,-90.87251660833755,-68.25,191.5,-51.800000000000004,64,63.51962314089465,75.72083674807557
B_PA2_to_C2,48,-63.28934886231595,151.5221097582287,-91.1567453525607,-66.98,191.95000000000002,-51.800000000000004,64,64.86699094517083,77.32701468966863
B_PA2_to_C2,49,-62.24884367455399,151.64669748594082,-91.43650640982341,-65.7,192.39,-51.800000000000004,64,66.22050489042591,78.94051935825853
B_PA2_to_C2,50,-61.20693837904393,151.76957901160443,-91.71177513775478,-64.42,192.81999999999996,-51.800000000000004,64,67.57080115421397,80.55018827466627
B_PA2_to_C2,51,-60.16364981403855,151.89074522038314,-91.98252799904806,-63.13999999999999,193.25,-51.800000000000004,64,68.92109741800205,82.15985719107402
B_PA2_to_C2,52,-59.118995098258246,152.01018632705112,-92.24874172716541,-61.85000000000001,193.66000000000003,-51.800000000000004,64,70.27468524300639,83.77344993065925
B_PA2_to_C2,53,-58.072991616937074,152.12789314608403,-92.51039273571692,-60.56,194.06999999999996,-51.800000000000004,64,71.62827306801073,85.38704267024445
B_PA2_to_C2,54,-57.02565725142257,152.24385640055144,-92.76745833238854,-59.269999999999996,194.47,-51.800000000000004,64,72.97886553059892,86.99706468101708
B_PA2_to_C2,55,-55.97700994133772,152.35806700921157,-93.0199148280702,-57.980000000000004,194.86,-51.800000000000004,64,74.3265301773119,88.60359648424509
B_PA2_to_C2,56,-54.92706831895261,152.47051600784266,-93.26774021710568,-56.68,195.24,-51.800000000000004,64,75.68093041357886,90.21815768770882
B_PA2_to_C2,57,-53.87585117730203,152.58119383266,-93.5109122821452,-55.38,195.61,-51.800000000000004,64,77.03255906080413,91.82941491940791
B_PA2_to_C2,58,-52.82337771589518,152.6900926983506,-93.74940860700194,-54.07999999999999,195.98,-51.800000000000004,64,78.3841877080294,93.440672151107
B_PA2_to_C2,59,-51.7696674550234,152.79720389478553,-93.98320742451459,-52.769999999999996,196.32999999999998,-51.800000000000004,64,79.74013755960947,95.05708062888289
B_PA2_to_C2,60,-50.71474037182839,152.90251849194152,-94.21228796453828,-51.47000000000001,196.68000000000004,-51.800000000000004,64,81.0864287613931,96.66197516800047
B_PA2_to_C2,61,-49.658616454597954,153.00602810349906,-94.43662804934597,-50.16,197.01,-51.800000000000004,64,82.43735437000373,98.27239431739467
B_PA2_to_C2,62,-48.60131628715884,153.10772344792713,-94.65620749994548,-48.85000000000001,197.33999999999997,-51.800000000000004,64,83.78827997861434,99.88281346678885
B_PA2_to_C2,63,-47.54286080845083,153.20759763587284,-94.87100552845139,-47.540000000000006,197.66000000000003,-51.800000000000004,64,85.13679768335538,101.49036218832474
B_PA2_to_C2,64,-46.4832711325046,153.30564221957906,-95.0810017177901,-46.22,197.98,-51.800000000000004,64,86.49503183106336,103.10949374293315
B_PA2_to_C2,65,-45.422568901487594,153.40184895521443,-95.28617699272675,-44.89999999999999,198.28,-51.800000000000004,64,87.84869353178479,104.72317454870698
B_PA2_to_C2,66,-44.360775570186505,153.49620909959992,-95.48651027214626,-43.57999999999999,198.56999999999996,-51.800000000000004,64,89.20017420127289,106.33425537825623
B_PA2_to_C2,67,-43.29791368497544,153.58871652443105,-95.68198375449377,-42.26,198.86,-51.800000000000004,64,90.55165487076098,107.94533620780548
