probe_config,condition,public_condition,scan_id,pa_s_mm,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm_raw,source_to_focus_mm_raw,ut_path_mm_display,geometry_center_mm_display,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,edm_detectability_db,detection_status,minus_6db_width_scan_id,minus_6db_s_min_mm,minus_6db_s_max_mm,minus_6db_length_mm,v62e_layer,physics_chain,public_label,confidential_name_displayed,display_note,hardware_status
1D16,PA1_TO_C1,PA1 → C1,0,0.0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,56.08617229773226,55.68335208627741,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,1.3706936541662302,-0.5759963036720268,0.972933422169452,0.4667577836928656,0.5962322826943547,0.8657679093390813,1.5430063805810414,84.27358860000197,1.830948944045567,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,36.2857535632683,-8.805277065830456,MEDIUM,13.0,0.0,21.890849196385524,21.890849196385524,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D16,PA1_TO_C1,PA1 → C1,50,82.57373423385732,EDM_02,C1,-66.245,159.7865,-51.63,3.0,-74.69426407127305,178.1270569580981,-72.06232435999999,-61.89954627987828,161.43774762125824,-51.8,28.727094730090545,29.20273339898191,47.60261909019202,47.7387676834014,4.651718686725452,4.5748330450470105,28.360480853496508,1.113290983084065,16,2.784827381663591,-0.9813171176598616,0.9751172315191073,0.8231022475033081,1.2146930706348495,1.5269319613183527,2.8517818235652084,164.36817521223347,1.7349963397007757,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,67.06326932175647,-3.470305572337483,STRONG,26.0,59.93826423474146,101.65044952980718,41.712185295065716,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D16,PA1_TO_C1,PA1 → C1,96,154.4497044205247,EDM_03,C1,0.0,173.11,-51.63,3.0,-3.843236030686029,186.78552779633588,-65.72927873,5.973651988992262,172.79263645429106,-51.8,20.014499354271862,22.04987765134326,45.10869317288794,45.691307476390776,5.984491432505871,5.313386684458265,19.296323648394022,1.227046003250693,16,3.997102229935366,0.993750341722905,0.965523283347587,1.1697867102573924,1.722708648785428,2.168495428568981,4.048792630089442,217.6882827151464,1.8599037943569265,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,95.21249779205708,-0.42612082939377244,STRONG,25.0,132.8673862899099,171.3661542708809,38.498767980971024,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D16,PA1_TO_C1,PA1 → C1,140,222.70861144600116,EDM_04,C1,67.37,159.429,-51.63,8.0,63.760866696173906,180.03991850661208,-69.9021585,70.15830933496864,158.02353773571153,-51.8,27.779625287971633,29.211922855660678,47.33141189008353,47.741398107883256,3.1271221792267867,2.7075889274381364,27.647360513078418,0.7781590808316885,16,2.879808462882305,0.9998750557416156,0.9908523644097429,1.4123931280889006,1.281368268472094,2.6217075859510945,4.2523751860096715,164.31646844055174,2.587917830980005,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,100.0,0.0,STRONG,27.0,200.7524489606422,243.41175024387803,42.659301283235834,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D16,PA1_TO_C1,PA1 → C1,160,254.71628884401153,EDM_05,C1,95.60149999999999,144.254,-51.63,3.0,94.31223338190297,172.17488171092018,-75.21046543999998,96.48753413538964,143.47098968365705,-51.8,36.56878715919862,37.10384404611377,49.84725448767165,50.000411174049304,1.1945968544137189,1.0602305722226384,36.55341441546186,0.421693315743104,16,2.187658006040175,-0.7783453190340295,0.9986038487406862,0.6621728068727224,0.982755487763751,1.229659973711958,2.2996706146787456,129.36664982836862,1.7776379134264741,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,54.07967345507681,-5.339318788475746,MEDIUM,29.0,230.63775824194974,277.6006264325477,46.96286819059796,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,172,186.0036520622148,EDM_06,C2,94.9125,178.63,-51.36,4.0,74.69654769593639,139.3256928081772,-97.01785697,95.43,179.51,-51.8,63.5464648464596,63.947706588204085,47.45746401499097,47.62048868940763,1.1116682283847115,1.0334392848740028,63.53806101642388,0.0556321246311206,16,1.258921329350032,-0.6806010171039806,0.9986932865652106,0.4400466979774696,0.5656014382114778,0.8171780614199458,1.4582609580871146,75.06133145493317,1.942759247433087,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,85.86401541891374,-1.3237761131949333,STRONG,32.0,168.32713432542647,204.21525411141155,35.88811978598508,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,145,156.44724828385645,EDM_07,C2,61.687000000000005,192.4055,-51.36,6.0,47.598933361388,151.04939742262195,-96.73057258,61.85,193.66,-51.8,62.98642471391462,63.541425107657645,47.22991949314871,47.45541636717207,1.3393801738117581,1.2135890720104634,62.97473223290379,0.0873429995525398,16,1.2701149551409103,-0.9999039907477321,0.9981836466982568,0.5434594614870399,0.5702731895161194,1.0091894936411139,1.698337715715419,75.54127078307427,2.2482249743883678,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,100.0,0.0,STRONG,32.0,139.50276557565664,173.79553666973126,34.292771094074624,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,117,126.98869455077842,EDM_08,C2,24.747500000000002,200.793,-51.36,4.0,19.045432453321975,158.07682644507008,-95.87908323,24.94,201.76,-51.8,61.96074425893738,62.33723732080004,46.8131851287199,46.966154404955816,1.0796968324487979,1.0088340831708793,61.95253088384746,0.0947239320984074,16,1.291140075168813,0.8590253697495512,0.9987566976661978,0.4513371791950314,0.580121677421865,0.8381477717630044,1.4956853027039207,77.00052498794946,1.9424352014976451,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,88.06760215378415,-1.103676563553922,STRONG,32.0,110.434015011136,143.70649958919824,33.27248457806225,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,74,82.38248106569033,EDM_09,C2,-33.2785,199.578,-51.36,4.0,-25.38325947836276,158.00749812419178,-95.07276046000001,-32.97,200.61,-51.8,60.83787369833382,61.196924723791774,46.356962386892064,46.50284495700992,1.1635275028979855,1.1034454771896978,60.82786601725633,0.0813001286154317,16,1.314970348843585,0.4468376798475261,0.9985194861745831,0.4595582309717381,0.5906547432539158,0.8534063442372066,1.5228954547702884,78.43531389305066,1.9415941355787911,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,89.66976595280839,-0.9470792758452198,STRONG,32.0,65.42665842524042,99.05840838149807,33.63174995625765,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
1D16,PA2_TO_C2,PA2 → C2,20,23.348301668563124,EDM_10,C2,-100.4165,175.5925,-51.36,3.0,-81.00797007779987,139.09895099755246,-94.14684997,-101.35,176.24,-51.8,59.49104708181112,59.88748955115404,45.80974621317173,45.97082094136071,1.2183096896930596,1.1481306120280141,59.47996703923088,0.1263923150381636,16,1.3447401571195294,0.8395677717373268,0.9983941745396331,0.40694815935371237,0.6039334710609193,0.7557036427442338,1.4132682185270926,80.15029576252296,1.763272618125403,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,83.21479323279105,-1.5959892318107225,STRONG,32.0,4.736041026621102,41.41761548692733,36.68157446030623,CIVA-like dB complete Twin demonstrator,Focal laws + Green + Born + Kirchhoff zone + Edge/GTD,Reference EDM,NO,White-to-red dB display; 0 dB = 100%; -6 dB length included,Wedge/refraction/card export pending
