probe_config,condition,public_condition,scan_id,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,source_to_focus_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent
1D16,PA1_TO_C1,PA1 → C1,0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,1.0280202406246728,-0.5759963036720268,0.972933422169452,0.3500683377696492,0.44684268255087495,0.6492289944032088,1.1569120117789864,58.99151202000138,1.9611499555846768,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,36.278181819081446
1D16,PA1_TO_C1,PA1 → C1,1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-148.46207204866772,151.96678324749905,-91.53103465000001,-123.18049367645828,121.3302084076179,-51.8,57.85402132978515,56.18107365714283,6.395524245194467,6.2548882950061735,57.51490377671017,1.0828036405504378,16,1.0370929906148119,-0.9358685321897415,0.9539178212199679,0.3462555201034237,0.43966675041776676,0.6415434011045748,1.1419725373006122,59.80661780344619,1.9094417628726186,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,35.80971320099304
1D16,PA1_TO_C1,PA1 → C1,2,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-147.01213427876158,152.65079213391363,-90.99525989,-122.11948218486496,122.39911263698372,-51.8,57.38960567349216,55.41729548162187,7.8830443786872815,7.749152132980269,56.86402624312537,1.079272506926678,16,1.045485489852626,0.5273057474866244,0.9302462613355912,0.34039563887560503,0.4293517763387768,0.6299205193513143,1.119734347652557,60.63089096641828,1.8468050358566328,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,35.11237314473517
1D16,PA1_TO_C1,PA1 → C1,3,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-145.55818013084513,153.32952804921314,-90.46755184000001,-121.04708600941288,123.45658981264891,-51.8,56.97230656494832,54.665946797017796,9.374529785161968,9.245300000422722,56.21715168196124,1.075792187759074,16,1.0531432483183758,0.3539154861482812,0.9022829379792673,0.33258161447200657,0.41610858805543033,0.6145548754300091,1.0905960623659567,61.464224016390745,1.7743591167361457,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,34.19866147024225
1D16,PA1_TO_C1,PA1 → C1,4,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-144.10015474514572,154.00296279815666,-89.94785963999999,-119.96618267894802,124.505387103595,-51.8,56.60299024751338,53.92415761661508,10.868690507921741,10.742707420023205,55.57420932634017,1.0778585582157092,16,1.0600146695012433,-0.7258300559089943,0.870448928950055,0.3229410218085463,0.4002092709102114,0.5957092662240365,1.0550876471542352,62.30973553427785,1.6932950173954922,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,33.08519672094171
1D16,PA1_TO_C1,PA1 → C1,5,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-142.641845663311,154.6708453935059,-89.42429788999998,-118.88008230961648,125.54874606153744,-51.8,56.27541381627656,53.18181887537765,12.364928406424344,12.241016283756519,54.927950266999574,1.0772442622135348,16,1.066184963044131,0.7557194759546142,0.8352140289721273,0.3116724235147555,0.38202674227225364,0.5737808450952405,1.0139840087057999,63.17948635554523,1.6049260087357502,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,31.796278243239026
1D16,PA1_TO_C1,PA1 → C1,6,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-141.1848019404851,155.33016413635335,-88.91734501,-117.78134730947552,126.57884134262476,-51.8,56.00216066064938,52.46005672553427,13.861496485117932,13.740116624502683,54.290433722767865,1.0742829357756332,16,1.071387233852921,-0.36431733064366256,0.7970876110564447,0.298896321761869,0.3618450872349217,0.5490265208115742,0.9678143438466918,64.04872982847085,1.5110593862494994,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,30.348500469967227
1D16,PA1_TO_C1,PA1 → C1,7,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-139.71823348336846,155.98731927370824,-88.40964599,-116.67484857184644,127.6005710161018,-51.8,55.773812425267614,51.740421764172034,15.35878830882876,15.239434369052887,53.651447255039315,1.073911509958231,16,1.0757736900341022,-0.5207345609491264,0.7566093545625345,0.2848791530452203,0.34013099166012384,0.5219713807584678,0.9175852203710497,64.93955567881845,1.4129835210288348,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,28.773427123412198
1D16,PA1_TO_C1,PA1 → C1,8,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-138.24746120457553,156.63905180031753,-87.90979411999999,-115.55750226495442,128.6104265437551,-51.8,55.59594161344636,51.032884514235406,16.85607502426771,16.7389910283084,53.0161758639752,1.070739099281807,16,1.0792154653513142,0.925484424148422,0.7143233052746502,0.26981806540964465,0.31726072912179115,0.49301365511829914,0.864073959719788,65.83989974273828,1.3123865058969653,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,27.095433271235315
1D16,PA1_TO_C1,PA1 → C1,9,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-136.77242656157046,157.2853317167316,-87.41773505,-114.43222507492268,129.61145779078277,-51.8,55.46889710405107,50.33439133063327,18.35365453347459,18.23878619671154,52.3845895661162,1.0701754059913196,16,1.0816872721923656,0.662092916101518,0.6707700430577702,0.2539471963502303,0.29364628524611247,0.46261702440496627,0.8081684048010473,66.75356373992985,1.2106745460806414,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,25.342359687946967
1D16,PA1_TO_C1,PA1 → C1,10,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-135.3024148437535,157.92281289642793,-86.93037713999999,-113.3016834944249,130.60654183979702,-51.8,55.389890969753765,49.64226266341307,19.851760112608666,19.739197004647572,51.75330060250189,1.0730514471587735,16,1.083230151739487,-0.04481376554026349,0.626469204772763,0.2375136161111405,0.26969883672633077,0.43126581196651315,0.7507826118431876,67.6842637649625,1.109242488697703,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,23.542869139347573
1D16,PA1_TO_C1,PA1 → C1,11,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-133.82283953829096,158.5578860389059,-86.44206371999998,-112.15856751978896,131.58710612802994,-51.8,55.35780338747901,48.95749411349705,21.349084951758332,21.239149549412982,51.12127661066822,1.0700243777872789,16,1.0838580349734575,-0.34939188535801236,0.5819620597331808,0.22076748907202892,0.24581839555183946,0.39944712936920573,0.6928264111944593,68.630963672499,1.0094953853490485,Green + Born + Kirchhoff zone + Edge/GTD proxy; display normalized; real calibration pending,21.725491877057205
