condition,scan_id,probe_x,probe_y,probe_z,focus_x,focus_y,focus_z,n_elements,condition_order,scan_s_mm,scan_index_global,scan_pixel
A_PA1_to_C1,0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.800000000000004,64,0,0.0,0,0.0
A_PA1_to_C1,1,-125.5875311773166,139.02719128142945,-65.13280492576664,-123.25,121.26,-51.800000000000004,64,0,1.4073023839957135,1,0.6325035040266757
A_PA1_to_C1,2,-124.6997361978672,140.12576271513814,-65.53680832565904,-122.26,122.26,-51.800000000000004,64,0,2.814462644946821,2,1.2649431317146635
A_PA1_to_C1,3,-123.80814054759924,141.2216765912607,-65.93965723338754,-121.26,123.25,-51.800000000000004,64,0,4.221622905897929,3,1.8973827594026518
A_PA1_to_C1,4,-122.91267870531779,142.31487245796063,-66.3413259657362,-120.25,124.23,-51.800000000000004,64,0,5.628925289893642,4,2.529886263429327
A_PA1_to_C1,5,-122.01174866453803,143.40418686963125,-66.74131078089212,-119.24,125.21000000000001,-51.800000000000004,64,0,7.036227673889355,5,3.162389767456003
A_PA1_to_C1,6,-121.10663104890662,144.49049807357036,-67.13999408581748,-118.22000000000001,126.16999999999999,-51.800000000000004,64,0,8.436941777480778,6,3.791932208893277
A_PA1_to_C1,7,-120.19746436062516,145.57388656308214,-67.53741160967894,-117.19000000000003,127.13,-51.800000000000004,64,0,9.844954561513646,7,4.424754997899408
A_PA1_to_C1,8,-119.2841803722571,146.65428488520172,-67.93353475243892,-116.14999999999999,128.08,-51.800000000000004,64,0,11.253535407613757,8,5.057833098949433
A_PA1_to_C1,9,-118.36592519347505,147.73104304627157,-68.32808255362079,-115.10000000000001,129.02,-51.800000000000004,64,0,12.66282600929957,9,5.691230195334125
A_PA1_to_C1,10,-117.44257785267718,148.80403214082943,-68.72100263076132,-114.04999999999998,129.95000000000002,-51.800000000000004,64,0,14.065466376606908,10,6.321638384292225
A_PA1_to_C1,11,-116.514922269347,149.87380453703935,-69.1125338929097,-112.99,130.88,-51.800000000000004,64,0,15.475608213444584,11,6.955418063142794
