config,condition,scan_id,element_id,delay_us,pa_x,pa_y,pa_z,focus_x,focus_y,focus_z,element_x,element_y,element_z
2D8x8,B_PA2_to_C2,0,1,0.7283934376763028,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.25052627941524,142.2273451798466,-70.54656048781531
2D8x8,B_PA2_to_C2,0,2,0.6321347633662686,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.71935114450564,142.33505063910366,-70.80395611734312
2D8x8,B_PA2_to_C2,0,3,0.5331336727173426,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.18817600959606,142.44275609836072,-71.06135174687093
2D8x8,B_PA2_to_C2,0,4,0.4314776829717708,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.65700087468647,142.55046155761778,-71.31874737639873
2D8x8,B_PA2_to_C2,0,5,0.3272528270671202,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.12582573977691,142.6581670168748,-71.57614300592655
2D8x8,B_PA2_to_C2,0,6,0.2205434967417794,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.59465060486734,142.76587247613188,-71.83353863545436
2D8x8,B_PA2_to_C2,0,7,0.1114323098093219,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.06347546995777,142.87357793538894,-72.09093426498217
2D8x8,B_PA2_to_C2,0,8,0.0,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-108.53230033504818,142.981283394646,-72.34832989450997
2D8x8,B_PA2_to_C2,0,9,0.7398902686585345,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.52271933449188,142.54906881206193,-70.97364929034028
2D8x8,B_PA2_to_C2,0,10,0.643509911106193,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.99154419958232,142.656774271319,-71.23104491986808
2D8x8,B_PA2_to_C2,0,11,0.5443863300738254,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.46036906467272,142.76447973057606,-71.48844054939589
2D8x8,B_PA2_to_C2,0,12,0.4426072818178745,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.92919392976314,142.87218518983312,-71.7458361789237
2D8x8,B_PA2_to_C2,0,13,0.3382590227304565,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.39801879485356,142.97989064909015,-72.00323180845152
2D8x8,B_PA2_to_C2,0,14,0.2314261525380345,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.866843659944,143.0875961083472,-72.26062743797932
2D8x8,B_PA2_to_C2,0,15,0.1221914818032061,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.3356685250344,143.19530156760428,-72.51802306750713
2D8x8,B_PA2_to_C2,0,16,0.0106359221068625,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-108.80449339012485,143.30300702686134,-72.77541869703494
2D8x8,B_PA2_to_C2,0,17,0.7475629901788068,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.79491238956854,142.87079244427727,-71.40073809286523
2D8x8,B_PA2_to_C2,0,18,0.6511012536142875,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.26373725465896,142.97849790353433,-71.65813372239303
2D8x8,B_PA2_to_C2,0,19,0.5518957592760891,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.73256211974936,143.0862033627914,-71.91552935192084
2D8x8,B_PA2_to_C2,0,20,0.450034423289761,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-111.2013869848398,143.19390882204846,-72.17292498144865
2D8x8,B_PA2_to_C2,0,21,0.3456036514689824,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.67021184993024,143.3016142813055,-72.43032061097647
2D8x8,B_PA2_to_C2,0,22,0.2386881825807272,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-110.13903671502064,143.40931974056255,-72.68771624050427
2D8x8,B_PA2_to_C2,0,23,0.1293709560033527,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.60786158011106,143.5170251998196,-72.94511187003208
2D8x8,B_PA2_to_C2,0,24,0.0177330021407406,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-109.07668644520147,143.62473065907668,-73.20250749955989
2D8x8,B_PA2_to_C2,0,25,0.7514018074731332,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-113.0671054446452,143.1925160764926,-71.82782689539019
2D8x8,B_PA2_to_C2,0,26,0.6548993040217024,-111.344089,143.730347,-72.942256,-123.81,161.25,-51.8,-112.53593030973562,143.30022153574967,-72.085222524918
