path_name,scan_id,probe_x,probe_y,probe_z,focus_x,focus_y,focus_z,n_elements,scan_s_mm,scan_pixel
PA1_TO_C1,0,-126.47159,137.926021,-64.727672,-124.23,120.25,-51.800000000000004,64,0.0,0.0
PA1_TO_C1,1,-125.5875311773166,139.02719128142945,-65.13280492576664,-123.25,121.26,-51.800000000000004,64,1.4073023839957135,1.8132481330250623
PA1_TO_C1,2,-124.6997361978672,140.12576271513814,-65.53680832565904,-122.26,122.26,-51.800000000000004,64,2.814462644946821,3.626313146666386
PA1_TO_C1,3,-123.80814054759924,141.2216765912607,-65.93965723338754,-121.26,123.25,-51.800000000000004,64,4.221622905897929,5.43937816030771
PA1_TO_C1,4,-122.91267870531779,142.31487245796063,-66.3413259657362,-120.25,124.23,-51.800000000000004,64,5.628925289893642,7.252626293332772
PA1_TO_C1,5,-122.01174866453803,143.40418686963125,-66.74131078089212,-119.24,125.21000000000001,-51.800000000000004,64,7.036227673889355,9.065874426357833
PA1_TO_C1,6,-121.10663104890662,144.49049807357036,-67.13999408581748,-118.22000000000001,126.16999999999999,-51.800000000000004,64,8.436941777480778,10.870633845600569
PA1_TO_C1,7,-120.19746436062516,145.57388656308214,-67.53741160967894,-117.19000000000003,127.13,-51.800000000000004,64,9.844954561513646,12.684797298286652
PA1_TO_C1,8,-119.2841803722571,146.65428488520172,-67.93353475243892,-116.14999999999999,128.08,-51.800000000000004,64,11.253535407613757,14.499692674328074
PA1_TO_C1,9,-118.36592519347505,147.73104304627157,-68.32808255362079,-115.10000000000001,129.02,-51.800000000000004,64,12.66282600929957,16.315502539682747
PA1_TO_C1,10,-117.44257785267718,148.80403214082943,-68.72100263076132,-114.04999999999998,129.95000000000002,-51.800000000000004,64,14.065466376606908,18.122743866244278
PA1_TO_C1,11,-116.514922269347,149.87380453703935,-69.1125338929097,-112.99,130.88,-51.800000000000004,64,15.475608213444584,19.93965051120185
PA1_TO_C1,12,-115.58288695538624,150.9402844562672,-69.50264433810658,-111.91999999999999,131.79,-51.800000000000004,64,16.880243397398058,21.749462072561865
PA1_TO_C1,13,-114.64639947593099,152.00339379708413,-69.8913011714731,-110.84000000000002,132.70000000000002,-51.800000000000004,64,18.29251107740776,23.569107774318187
PA1_TO_C1,14,-113.7043365345142,153.06224053959426,-70.27812111471913,-109.76,133.6,-51.800000000000004,64,19.698356019070953,25.380478056059484
PA1_TO_C1,15,-112.75724424129103,154.11719913348915,-70.66326812092449,-108.66999999999999,134.48,-51.800000000000004,64,21.099248591683153,27.18546742490112
PA1_TO_C1,16,-111.80550111618676,155.16853095706625,-71.04685566781225,-107.56999999999996,135.36,-51.800000000000004,64,22.507935923918414,29.00050000371285
