path_name,scan_id,probe_x,probe_y,probe_z,focus_x,focus_y,focus_z,n_elements,scan_s_mm,scan_pixel
PA2_TO_C2,0,-111.344089,143.730347,-72.94225599999999,-123.80999999999997,161.25,-51.800000000000004,64,0.0,0.0
PA2_TO_C2,1,-110.38386537861794,143.92504987544245,-73.40755896180973,-122.74,162.06999999999996,-51.800000000000004,64,1.3480726983363682,1.8085252245566599
PA2_TO_C2,2,-109.4218299609588,144.1185327097424,-73.86961573883003,-121.65999999999998,162.88,-51.800000000000004,64,2.6980726983363965,3.6196360468176274
PA2_TO_C2,3,-108.45798450643372,144.31078641668583,-74.32840069786123,-120.56999999999996,163.68000000000004,-51.800000000000004,64,4.050145181600553,5.4335272371294225
PA2_TO_C2,4,-107.4923307956957,144.50179958697743,-74.7838886057273,-119.48,164.48,-51.800000000000004,64,5.402217664864613,7.247418427441089
PA2_TO_C2,5,-106.5248704079047,144.69156262453674,-75.23605239698662,-118.39,165.27,-51.800000000000004,64,6.748397444834599,9.053404181672557
PA2_TO_C2,6,-105.55560598576687,144.8800661623952,-75.68486654027399,-117.28999999999999,166.05999999999997,-51.800000000000004,64,8.102686926444775,10.870269616204656
PA2_TO_C2,7,-104.58453988214106,145.06729927392988,-76.1303048784166,-116.18000000000004,166.83,-51.800000000000004,64,9.453612535055392,12.682622201259559
PA2_TO_C2,8,-103.61167478761367,145.25325172348178,-76.57234104120653,-115.06999999999996,167.6,-51.800000000000004,64,10.804538143666068,14.494974786314545
PA2_TO_C2,9,-102.63701375124137,145.4379140468565,-77.01094843943008,-113.95000000000002,168.36,-51.800000000000004,64,12.158052088921126,16.310799789523823
PA2_TO_C2,10,-101.6605600506468,145.62127561992435,-77.4461008038966,-112.83000000000001,169.12,-51.800000000000004,64,13.511566034176216,18.126624792733143
PA2_TO_C2,11,-100.68231730915193,145.80332558276277,-77.877772044352,-111.70000000000002,169.86,-51.800000000000004,64,14.862306571807334,19.93872909330371
PA2_TO_C2,12,-99.70228929415877,145.98405451638737,-78.30593509369717,-110.56999999999996,170.6,-51.800000000000004,64,16.213047109438484,21.750833393874316
PA2_TO_C2,13,-98.7204801590521,146.16345228221533,-78.73056335422048,-109.43000000000004,171.32999999999998,-51.800000000000004,64,17.56674574650651,23.566906172891926
PA2_TO_C2,14,-97.73689414441262,146.34150742262747,-79.15163026818743,-108.28999999999999,172.05999999999997,-51.800000000000004,64,18.92044438357463,25.382978951909664
