probe_config,condition,public_condition,scan_id,pa_s_mm,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm_raw,source_to_focus_mm_raw,ut_path_mm_display,geometry_center_mm_display,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,green_incident,green_phase_proxy,finite_beam_factor,born_response,kirchhoff_zone_response,edge_gtd_response,total_physics_response,continuous_geometry_echo,response_vs_geometry_percent_raw,note,edm_detectability_percent,edm_detectability_db
1D16,PA1_TO_C1,PA1 → C1,0,0.0,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-149.90804692985947,151.2775293093675,-92.07492606,-124.23,120.25,-51.8,58.36460959517803,56.95734665795266,56.08617229773226,55.68335208627741,4.915821014845835,4.763938398933852,58.16985941300453,1.0858863497585285,16,1.3706936541662302,-0.5759963036720268,0.972933422169452,0.4667577836928656,0.5962322826943547,0.8657679093390813,1.5430063805810414,84.27358860000197,1.830948944045567,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,36.2857535632683,-8.805277065830456
1D16,PA1_TO_C1,PA1 → C1,1,1.69166551485189,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-148.46207204866772,151.96678324749905,-91.53103465000001,-123.18049367645828,121.3302084076179,-51.8,57.85402132978515,56.18107365714283,55.94001960118115,55.461148796429214,6.395524245194467,6.2548882950061735,57.51490377671017,1.0828036405504378,16,1.3827906541530826,-0.9358685321897415,0.9539178212199679,0.46167402680456493,0.5869723201232812,0.8556073945440623,1.5234029931775268,85.43802543349454,1.7830503285253854,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,35.82475502607408,-8.916335413553318
1D16,PA1_TO_C1,PA1 → C1,2,3.3820034357267534,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-147.01213427876158,152.65079213391363,-90.99525989,-122.11948218486496,122.39911263698372,-51.8,57.38960567349216,55.41729548162187,55.80708352511299,55.24252207214799,7.8830443786872815,7.749152132980269,56.86402624312537,1.079272506926678,16,1.3939806531368346,0.5273057474866244,0.9302462613355912,0.45386085183414004,0.5735935383919761,0.8402165524660398,1.4941367541537247,86.61555852345468,1.7250212082268412,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,35.136522268059494,-9.084824523595808
1D16,PA1_TO_C1,PA1 → C1,3,5.071127733401651,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-145.55818013084513,153.32952804921314,-90.46755184000001,-121.04708600941288,123.45658981264891,-51.8,56.97230656494832,54.665946797017796,55.68763426606054,55.02745321187852,9.374529785161968,9.245300000422722,56.21715168196124,1.075792187759074,16,1.4041909977578344,0.3539154861482812,0.9022829379792673,0.4434421526293421,0.5563633670005285,0.8198515273228169,1.45572563756215,87.80603430912963,1.6578879219589024,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,34.233236106529176,-9.311040891459077
1D16,PA1_TO_C1,PA1 → C1,4,6.759153908900538,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-144.10015474514572,154.00296279815666,-89.94785963999999,-119.96618267894802,124.505387103595,-51.8,56.60299024751338,53.92415761661508,55.58191978076599,54.8151206998791,10.868690507921741,10.742707420023205,55.57420932634017,1.0778585582157092,16,1.4133528926683245,-0.7258300559089943,0.870448928950055,0.43058802907806176,0.5356286221518124,0.7948589252848403,1.4088604612117717,89.01390790611121,1.582741949379179,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,33.13114199910975,-9.59527188280517
1D16,PA1_TO_C1,PA1 → C1,5,8.446414838749618,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-142.641845663311,154.6708453935059,-89.42429788999998,-118.88008230961648,125.54874606153744,-51.8,56.27541381627656,53.18181887537765,55.48815307675643,54.60263087952899,12.364928406424344,12.241016283756519,54.927950266999574,1.0772442622135348,16,1.4215799507255078,0.7557194759546142,0.8352140289721273,0.41556323135300727,0.51186936591799,0.7657641345347522,1.3545573854445998,90.25640907935032,1.5007880318545799,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,31.85413624604664,-9.936683334264147
1D16,PA1_TO_C1,PA1 → C1,6,10.124115299927508,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-141.1848019404851,155.33016413635335,-88.91734501,-117.78134730947552,126.57884134262476,-51.8,56.00216066064938,52.46005672553427,55.409936070524836,54.39603097973112,13.861496485117932,13.740116624502683,54.290433722767865,1.0742829357756332,16,1.4285163118038944,-0.36431733064366256,0.7970876110564447,0.39852842901582525,0.4854458894338651,0.7329048817672114,1.2935033601735215,91.49818546924408,1.4136929093619195,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,30.41837334648062,-10.3372802800431
1D16,PA1_TO_C1,PA1 → C1,7,11.809474077419814,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-139.71823348336846,155.98731927370824,-88.40964599,-116.67484857184644,127.6005710161018,-51.8,55.773812425267614,51.740421764172034,55.34457281677271,54.19003997432755,15.35878830882876,15.239434369052887,53.651447255039315,1.073911509958231,16,1.4343649200454696,-0.5207345609491264,0.7566093545625345,0.37983887072696043,0.4569629715130899,0.6969768868766304,1.2270229832933446,92.7707938268835,1.3226393056235473,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,28.855002901208113,-10.795577553789016
1D16,PA1_TO_C1,PA1 → C1,8,13.494044727243946,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-138.24746120457553,156.63905180031753,-87.90979411999999,-115.55750226495442,128.6104265437551,-51.8,55.59594161344636,51.032884514235406,55.29365840971048,53.98751186313207,16.85607502426771,16.7389910283084,53.0161758639752,1.070739099281807,16,1.4389539538017522,0.925484424148422,0.7143233052746502,0.35975742054619286,0.42690545218294224,0.6585064860926036,1.1561354870573912,94.05699963248327,1.2291860165376904,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,27.18799345036818,-11.312456867440199
1D16,PA1_TO_C1,PA1 → C1,9,15.17794705718902,EDM_01,C1,-126.838,116.0865,-51.63,4.0,-136.77242656157046,157.2853317167316,-87.41773505,-114.43222507492268,129.61145779078277,-51.8,55.46889710405107,50.33439133063327,55.25729271373067,53.78757255934202,18.35365453347459,18.23878619671154,52.3845895661162,1.0701754059913196,16,1.4422496962564872,0.662092916101518,0.6707700430577702,0.338596261800307,0.3958078701167168,0.6181077706598528,1.0820095220615014,95.3622339141855,1.134631056394064,Green + Born + Kirchhoff zone + Edge/GTD proxy; CIVA-like dB display,25.444827296079524,-11.88800985011847
