scan_id,focus_x,focus_y,focus_z,condition,max_response_raw,mean_response_raw,sigma_mm,n_elements,physics_level
0,-124.01999999999998,140.75,-51.79999999999998,A_PA1_to_C1,1.2913423756220996,0.011807400974100218,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
1,-122.995,141.665,-51.79999999999998,A_PA1_to_C1,1.3581234355681917,0.011708608048824062,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
2,-121.96000000000004,142.57000000000005,-51.79999999999998,A_PA1_to_C1,1.2320679916297326,0.011773467715166058,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
3,-120.91499999999998,143.465,-51.79999999999998,A_PA1_to_C1,1.2125801908907246,0.011762397085943083,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
4,-119.86500000000001,144.355,-51.79999999999998,A_PA1_to_C1,1.2669994802034332,0.011657242855619357,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
5,-118.81500000000004,145.24,-51.79999999999998,A_PA1_to_C1,1.3332880531347733,0.011658159898943145,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
6,-117.755,146.11499999999998,-51.79999999999998,A_PA1_to_C1,1.34988905557404,0.011576041506099628,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
7,-116.68500000000004,146.97999999999996,-51.79999999999998,A_PA1_to_C1,1.3934406477172079,0.011557592566786325,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
8,-115.60999999999997,147.83999999999997,-51.79999999999998,A_PA1_to_C1,1.5647211291912242,0.011688696724545653,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
9,-114.52500000000002,148.69000000000005,-51.79999999999998,A_PA1_to_C1,1.3205238314725283,0.011819228786468797,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
10,-113.43999999999996,149.53499999999997,-51.79999999999998,A_PA1_to_C1,1.36039683813534,0.01189096106980934,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
11,-112.34500000000001,150.37000000000006,-51.79999999999998,A_PA1_to_C1,1.4180687682409427,0.01185172016701946,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
12,-111.24499999999996,151.19499999999996,-51.79999999999998,A_PA1_to_C1,1.4150871743829012,0.011742266414465047,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
