model_x,model_y,model_z,edge_label,extraction
-33.5671,147.14378866666664,-62.425913333333355,Lower groove edge,x-binning quantile 0.15
-32.2662,147.73278133333332,-62.89064000000002,Lower groove edge,x-binning quantile 0.15
-30.825,148.14319533333332,-63.21912000000002,Lower groove edge,x-binning quantile 0.15
-29.5203,148.588832,-64.20417333333334,Lower groove edge,x-binning quantile 0.15
-28.0933,148.98105500000003,-65.19182666666667,Lower groove edge,x-binning quantile 0.15
-26.2831,149.32135366666665,-66.18021666666667,Lower groove edge,x-binning quantile 0.15
-25.09285,149.61865233333336,-66.65594999999999,Lower groove edge,x-binning quantile 0.15
-7.1412,149.762323,-67.01511666666666,Lower groove edge,x-binning quantile 0.15
-6.0464,149.86476433333334,-67.01511666666667,Lower groove edge,x-binning quantile 0.15
5.42995,149.9289566666667,-67.01511666666667,Lower groove edge,x-binning quantile 0.15
14.0838,149.95443666666665,-67.01511666666667,Lower groove edge,x-binning quantile 0.15
19.5076,149.95304466666667,-67.01622333333334,Lower groove edge,x-binning quantile 0.15
22.62155,149.90335666666667,-68.04028666666667,Lower groove edge,x-binning quantile 0.15
23.1597,149.8312906666667,-69.04150000000001,Lower groove edge,x-binning quantile 0.15
24.6386,149.80115866666665,-69.59808666666669,Lower groove edge,x-binning quantile 0.15
26.2642,149.249967,-70.45663666666668,Lower groove edge,x-binning quantile 0.15
27.567700000000002,148.91977599999998,-71.07004333333335,Lower groove edge,x-binning quantile 0.15
28.972099999999998,148.59340099999997,-71.76569,Lower groove edge,x-binning quantile 0.15
29.79665,148.30440466666667,-71.79433999999999,Lower groove edge,x-binning quantile 0.15
31.852249999999998,147.89492366666667,-71.85486666666667,Lower groove edge,x-binning quantile 0.15
33.0521,147.62528366666666,-71.32478333333333,Lower groove edge,x-binning quantile 0.15
34.4929,147.27364733333334,-72.03285,Lower groove edge,x-binning quantile 0.15
36.123549999999994,147.0719246666667,-72.15887666666666,Lower groove edge,x-binning quantile 0.15
37.07795,146.93777300000002,-73.34272333333334,Lower groove edge,x-binning quantile 0.15
38.97225,147.0342666666667,-73.87573666666667,Lower groove edge,x-binning quantile 0.15
39.9053,147.32690000000002,-78.01402999999999,Lower groove edge,x-binning quantile 0.15
41.8492,147.75225533333332,-81.59628333333333,Lower groove edge,x-binning quantile 0.15
42.9045,148.14364066666667,-84.20599333333334,Lower groove edge,x-binning quantile 0.15
44.371,148.468469,-86.81767333333332,Lower groove edge,x-binning quantile 0.15
45.5737,148.65287266666667,-89.35300666666664,Lower groove edge,x-binning quantile 0.15
47.19775,148.84882733333333,-91.90841666666665,Lower groove edge,x-binning quantile 0.15
48.2825,148.90758766666667,-94.43044333333333,Lower groove edge,x-binning quantile 0.15
50.2221,149.04377399999998,-97.04008999999999,Lower groove edge,x-binning quantile 0.15
51.26805,149.00998233333334,-99.59294666666666,Lower groove edge,x-binning quantile 0.15
52.6566,149.05129666666667,-102.12812666666666,Lower groove edge,x-binning quantile 0.15
54.04315,148.90504066666668,-105.10197333333333,Lower groove edge,x-binning quantile 0.15
55.46245,148.78084433333333,-107.41752666666667,Lower groove edge,x-binning quantile 0.15
56.808099999999996,148.56339200000002,-110.46528666666666,Lower groove edge,x-binning quantile 0.15
58.2643,148.22320233333332,-113.04967333333333,Lower groove edge,x-binning quantile 0.15
59.627,147.59594633333333,-116.38534,Lower groove edge,x-binning quantile 0.15
61.0314,146.71504233333332,-115.92348000000001,Lower groove edge,x-binning quantile 0.15
62.42465,145.62175900000003,-115.90668,Lower groove edge,x-binning quantile 0.15
63.8226,144.503859,-115.58748333333334,Lower groove edge,x-binning quantile 0.15
65.2069,143.37711066666668,-115.10034333333334,Lower groove edge,x-binning quantile 0.15
66.58535,142.25385633333332,-114.22477666666668,Lower groove edge,x-binning quantile 0.15
68.0422,141.09568933333335,-113.65329666666668,Lower groove edge,x-binning quantile 0.15
69.40065,139.90272500000003,-112.54166000000001,Lower groove edge,x-binning quantile 0.15
70.7767,138.70035700000003,-111.21812333333335,Lower groove edge,x-binning quantile 0.15
72.1614,137.502357,-110.03829666666667,Lower groove edge,x-binning quantile 0.15
73.56315000000001,136.28238000000002,-109.20147,Lower groove edge,x-binning quantile 0.15
74.9646,135.02842466666667,-108.50497666666666,Lower groove edge,x-binning quantile 0.15
76.3408,133.77432900000002,-107.26475333333335,Lower groove edge,x-binning quantile 0.15
77.70795,132.52695333333335,-106.68438,Lower groove edge,x-binning quantile 0.15
79.1391,131.28151133333333,-105.87744666666667,Lower groove edge,x-binning quantile 0.15
80.47874999999999,130.02942066666668,-104.7553,Lower groove edge,x-binning quantile 0.15
81.8965,128.76146466666665,-103.19718333333334,Lower groove edge,x-binning quantile 0.15
83.3053,127.51529533333334,-101.66670333333333,Lower groove edge,x-binning quantile 0.15
84.7108,126.31824466666667,-100.28866666666667,Lower groove edge,x-binning quantile 0.15
86.05619999999999,125.19458366666667,-98.96496,Lower groove edge,x-binning quantile 0.15
87.4938,124.19253433333334,-98.01644999999999,Lower groove edge,x-binning quantile 0.15
88.85735,123.27364,-96.53141333333332,Lower groove edge,x-binning quantile 0.15
90.25775,122.448095,-95.40511,Lower groove edge,x-binning quantile 0.15
91.7039,121.71106999999999,-94.35714999999999,Lower groove edge,x-binning quantile 0.15
93.0221,121.02688333333333,-93.14119666666666,Lower groove edge,x-binning quantile 0.15
94.4462,120.41975066666667,-91.51406999999999,Lower groove edge,x-binning quantile 0.15
95.83515,119.944989,-89.84313999999999,Lower groove edge,x-binning quantile 0.15
97.1245,119.484556,-88.63264999999998,Lower groove edge,x-binning quantile 0.15
98.58095,119.0573,-86.70452333333331,Lower groove edge,x-binning quantile 0.15
99.9868,118.59995333333333,-84.75130999999998,Lower groove edge,x-binning quantile 0.15
101.3797,117.719114,-82.89719666666666,Lower groove edge,x-binning quantile 0.15
102.7716,116.92979933333334,-81.6713,Lower groove edge,x-binning quantile 0.15
104.16890000000001,116.20558866666669,-80.52764,Lower groove edge,x-binning quantile 0.15
105.56280000000001,115.52202066666668,-79.48352000000001,Lower groove edge,x-binning quantile 0.15
106.9442,114.84216500000002,-78.56982,Lower groove edge,x-binning quantile 0.15
108.3385,114.10954500000003,-77.71975666666667,Lower groove edge,x-binning quantile 0.15
109.7322,113.39406333333335,-77.10213333333334,Lower groove edge,x-binning quantile 0.15
111.37219999999999,112.69125400000003,-76.63233333333334,Lower groove edge,x-binning quantile 0.15
