label,x_mm,y_mm,z_mm,amplitude_percent,frequency_hz,velocity_m_per_s,wavelength_mm,green_sigma_mm,spot_sigma_mm,physics_level
green_gauss_global_scan,121.94789915966386,-228.0,-51.8,7.069377369165555e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,123.30252100840336,-228.0,-51.8,6.849214340271037e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,124.65714285714284,-228.0,-51.8,6.634332997172952e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,126.01176470588234,-228.0,-51.8,6.455368809053363e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,127.36638655462184,-228.0,-51.8,6.297622339288885e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,128.72100840336134,-228.0,-51.8,6.112861421415779e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,130.07563025210084,-228.0,-51.8,5.846455878811102e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,131.43025210084033,-228.0,-51.8,5.462656855714535e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,132.78487394957983,-228.0,-51.8,4.958265038031599e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,134.13949579831933,-228.0,-51.8,4.364839375346418e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,135.49411764705883,-228.0,-51.8,3.743128934795358e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,136.84873949579833,-228.0,-51.8,3.171526447424674e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,138.20336134453783,-228.0,-51.8,2.725320430528866e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,139.55798319327732,-228.0,-51.8,2.4426825042923673e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,140.91260504201682,-228.0,-51.8,2.2960507966844382e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,142.2672268907563,-228.0,-51.8,2.2090410432281314e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,143.6218487394958,-228.0,-51.8,2.1067921262889222e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,144.9764705882353,-228.0,-51.8,1.9466276671547173e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,146.33109243697479,-228.0,-51.8,1.7189958621404435e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,147.68571428571428,-228.0,-51.8,1.4369266488847056e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,149.04033613445378,-228.0,-51.8,1.125129132293535e-91,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,150.39495798319328,-228.0,-51.8,8.115854475201913e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,151.74957983193278,-228.0,-51.8,5.219880979829012e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,153.10420168067225,-228.0,-51.8,2.7771207751566314e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,154.45882352941175,-228.0,-51.8,1.6231868696938286e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,155.81344537815124,-228.0,-51.8,1.154990914208386e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,157.16806722689074,-228.0,-51.8,1.88430110146395e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,158.52268907563024,-228.0,-51.8,2.302829045549731e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,159.87731092436974,-228.0,-51.8,2.412339058411162e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,161.23193277310924,-228.0,-51.8,2.3052820735989044e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,162.58655462184873,-228.0,-51.8,2.0768838710654977e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,163.94117647058823,-228.0,-51.8,1.8044694513825184e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,165.29579831932773,-228.0,-51.8,1.5392090437134378e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,166.65042016806723,-228.0,-51.8,1.3053122345828446e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,168.00504201680673,-228.0,-51.8,1.1060839670750523e-92,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,169.35966386554622,-228.0,-51.8,9.344863703674107e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,170.71428571428572,-228.0,-51.8,7.82950175817486e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,172.06890756302522,-228.0,-51.8,6.481934476186625e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,173.42352941176472,-228.0,-51.8,5.310203738800327e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,174.77815126050422,-228.0,-51.8,4.336098100230989e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,176.13277310924371,-228.0,-51.8,3.5661879060850336e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,177.4873949579832,-228.0,-51.8,2.9759533446703665e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,178.84201680672268,-228.0,-51.8,2.515159297270413e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,180.19663865546218,-228.0,-51.8,2.129460565633995e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,181.55126050420168,-228.0,-51.8,1.7803422165292292e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,182.90588235294118,-228.0,-51.8,1.4511094443470907e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,184.26050420168067,-228.0,-51.8,1.1416231323792734e-93,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,185.61512605042017,-228.0,-51.8,8.598153859734226e-94,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,186.96974789915967,-228.0,-51.8,6.148962662981338e-94,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,188.32436974789914,-228.0,-51.8,4.135576547190811e-94,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,189.67899159663864,-228.0,-51.8,2.5887465269664113e-94,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,191.03361344537814,-228.0,-51.8,1.5141734920599163e-94,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,192.38823529411764,-228.0,-51.8,9.169005399187747e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,193.74285714285713,-228.0,-51.8,7.428124039971573e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,195.09747899159663,-228.0,-51.8,7.461235402072239e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,196.45210084033613,-228.0,-51.8,7.355581463680109e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,197.80672268907563,-228.0,-51.8,6.73768997634026e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,199.16134453781513,-228.0,-51.8,5.75799178413461e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,200.51596638655462,-228.0,-51.8,4.6340381541282926e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,201.87058823529412,-228.0,-51.8,3.535376232560877e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,203.22521008403362,-228.0,-51.8,2.5655853828242703e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,204.57983193277312,-228.0,-51.8,1.771954276916658e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,205.93445378151262,-228.0,-51.8,1.1618720314245086e-95,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,207.2890756302521,-228.0,-51.8,7.185570547391505e-96,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,208.64369747899158,-228.0,-51.8,4.1352279912463835e-96,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,209.99831932773108,-228.0,-51.8,2.152364706328285e-96,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,211.35294117647058,-228.0,-51.8,9.436732016918025e-97,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,212.70756302521008,-228.0,-51.8,3.263858186368339e-97,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
green_gauss_global_scan,214.06218487394958,-228.0,-51.8,1.7553197858232187e-97,5000000.0,3230.0,0.646,18.0,5.0,V4.1 Green + Gaussian + sampled scan
